,Title,Year,Director,Runtime,Series,Tags,Country,Meta,Link,Show,Description
20,REVOLUTION UNTIL VICTORY AKA WE ARE THE PALESTINIAN PEOPLE,1972,Various directors,45,Chicago Palestine Film Festival,Encore Added,Palestine/USA,In English | Format: Digital,https://www.siskelfilmcenter.org//revolution-until-victory,REVOLUTION UNTIL VICTORY AKA WE ARE THE PALESTINIAN PEOPLE,"Made by a breakaway faction of the US Newsreel collective Pacific Newsreel, REVOLUTION UNTIL VICTORY AKA WE ARE THE PALESTINIAN PEOPLE edits archival footage into a detailed, historical reconstruction of Palestinian history. Great attention is paid to the political genesis of Zionism, the refugee camps of the Middle East, the rise of the Palestinian Liberation Movement, and Israel's relationship to Western imperialism. Preceded by ABU SALMA (2024, dir. Asil Alwadiya, 7 min.), HIDE & SEEK (2024, dir. Rami Abbas, 8 min.), WHEN WEATHER PERMITS (2024, dir. Hareth Yousef, 10 min.), and SHATTERED MEMORY (2023, dir. Hayat Laban, 14 min.)."
21,A FIDAI FILM,2024,Kamal Aljafari,78,Chicago Palestine Film Festival,,Palestine/Germany/Qatar/Brazil/France,In English and Arabic and Hebrew with English subtitles | Format: Digital,https://www.siskelfilmcenter.org//fidai-film,A FIDAI FILM,"In the Summer of 1982, the Israeli army invaded Beirut, where it raided the Palestinian Research Center and looted its entire archive. The archive contained historical documents of Palestine, including a collection of still and moving images. Taking this as its premise, A FIDAI FILM explores the visual memory of this looting and appropriates images that are now in the hands of Israeli archives. Preceded by IN A MOMENT (2024, dir. Asil Alwadiya, 5 min.), I’LL GET BACK TO YOU (2023, dir. Uday Jubeh, 8 min.), FORGET ME NOT (2023, dir. Mohammed Al Majdalawi, 10 min.), and PINK SWING (2023, dir. Ala’a Al Qaisi, 11 min.)."
22,THE PALESTINE EXCEPTION,2024,"Jan Haaken, Jennifer Ruth",70,Chicago Palestine Film Festival,Filmmaker Q&A,USA,In English | Format: Digital,https://www.siskelfilmcenter.org//palestine-exception,THE PALESTINE EXCEPTION,"After years of right-wing criticisms on higher education, attacks took a new form in 2023 and 2024. THE PALESTINE EXCEPTION documents professors and students as they join calls for a ceasefire and face waves of crackdown from administrators, the media, the police, and politicians. Scholars from diverse disciplines explain what is at stake in these protests and why so many young people identify with the Palestinian cause. Preceded by SALT (2023, dir. Mateusz Miszczynski, 6 min.), SIRI MIRI (2021, dir. Luay Awwad, 6 min.), and THE DEER’S TOOTH (2024, dir. Saif Hammash, 16 min.). This presentation will include a filmmaker Q&A."
23,YALLA PARKOUR,2025,Areeb Zuaiter,87,Chicago Palestine Film Festival,,Sweden/Qatar/Saudi Arabia/Palestine,In Arabic and Swedish with English subtitles | Format: Digital,https://www.siskelfilmcenter.org//yalla-parkour,YALLA PARKOUR,"In her relentless pursuit of a memory that reinforces her sense of belonging, Areeb crosses paths with Ahmed, a parkour athlete in Gaza, sparking a journey where conflicting aspirations intersect. Nostalgia meets with ambition, and the weight of a confined past meets with an unpredictable future. Preceded by MASHED POTATOES (2024, dir. Suha Araj, 13 min.) and MAQLUBA (2023, dir. Mike Elsherif, 28 min.)."
24,BONA,1980,Lino Brocka,82,,4K Digital Restoration,Philippines,In Filipino and Tagalog with English subtitles | Format: 4K Digital Restoration,https://www.siskelfilmcenter.org//bona,BONA,"Bona skips class to hang around the sets of bit-actor Gardo. When her father attempts to beat some sense into her, Bona moves in with Gardo, only to find herself more the maid than the wife. A collaboration between two greats of Filipino cinema, Lino Brocka and Nora Aunor, BONA was selected for the Cannes Film Festival 1981, but remained largely unseen, its elements long believed lost. The rediscovery of BONA is made possible thanks to José B. Capino, Film Studies Professor at the University of Illinois, Urbana-Champaign, whose research for the book Martial Law Melodrama: Lino Brocka’s Cinema Politics helped spur the film’s restoration. Professor Capino will introduce the screening of this iconic gem of Philippine cinema."
25,BOWLING FOR COLUMBINE,2002,Michael Moore,120,Shadows of War Lecture Series,,USA/Canada/Germany,In English | Format: Digital,https://www.siskelfilmcenter.org//bowling-columbine,BOWLING FOR COLUMBINE,"Exploring what he suggests is the primary causes for the Columbine High School Massacre and other acts of gun violence, Michael Moore discusses with various subjects—including then National Rifle Association president Charlton Heston, Marilyn Manson, and survivors of the Columbine High School shooting—why the US violent crime rate is substantially higher than those of other nations. Now over twenty years old, Moore’s Academy Award winning documentary is as relevant as ever."
26,SPACES OF EXCEPTION,2023,"Matt Peterson, Malek Rasamny",85,Chicago Palestine Film Festival,,USA/Palestine,In English and Arabic with English subtitles | Format: Digital,https://www.siskelfilmcenter.org//spaces-exception,SPACES OF EXCEPTION,"The Indian reservation and the Palestinian refugee camp have become “spaces of exception,”  essential in the struggle for decolonization and Indigenous autonomy. While their histories are distinct, dispossession and loss unite these communities in solidarity, and their stories highlight both their unique tragedies and their revolutionary commonalities. Preceded by ON THE ROOFTOP (2023, dir. Noor Al-Terri, 3 min.), THE SOUND OF CLOUDS (2024, dir. Mohammad Lotfali, 4 mins.), and EXCEPTION (2024, dir. Rodrigue Hammal, 32 mins.)."
27,ROUNDABOUT,2025,Various directors,100,,,Various,In English | Format: Digital,https://www.siskelfilmcenter.org//roundabout,Video Data Bank Presents: ROUNDABOUT,"With Roundabout, Video Data Bank–a special collection of the School of the Art Institute of Chicago–presents a screening series in which the Chicago video art distributor invites fellow moving image archives and distributors to collaborate on a conversational program of short experimental works. This round’s collaborator, Videobrasil (Associação Cultural Videobrasil), was established by Solange O. Farkas in 1991 to house a growing body of artworks and publications amassed since the first edition of Festival Videobrasil in 1983. Ever since, Associação has been working systematically to activate this collection comprising artworks from the world’s Geopolitical South, video art classics, its own productions, and a vast collection of art publications. Artists featured include Nancy Holt, Seba Calfuqueo, Rabih Mroué, Ana Vaz, New Red Order, and Jim Finn."
28,TO A LAND UNKNOWN,2024,Mahdi Fleifel,105,Chicago Palestine Film Festival,Filmmaker Q&A,Greece,In English and Arabic and Greek with English subtitles | Format: Digital,https://www.siskelfilmcenter.org//land-unknown,TO A LAND UNKNOWN,"Chatila and Reda are saving to pay for fake passports to get out of Athens, but when Reda loses their cash to his dangerous drug addiction, Chatila hatches an extreme plan, which involves them posing as smugglers and taking hostages in an effort to get them out of their hopeless environment before it is too late. Preceded by BLOOD LIKE WATER (2023, dir. Dina Hamdan, 15 min.). This presentation will include a filmmaker Q&A."
29,THE IMPORTANCE OF BEING EARNEST,2024,Max Webster,180,National Theatre Live,,UK,In English | Format: Digital,https://www.siskelfilmcenter.org//importance-being-earnest,National Theatre Live: THE IMPORTANCE OF BEING EARNEST,"While assuming the role of a dutiful guardian in the country, Jack lets loose in town under a false identity. Meanwhile, his friend Algy adopts a similar facade. Hoping to impress two eligible ladies, the gentlemen find themselves caught in a web of lies they must carefully navigate. Max Webster directs this joyful reimagining of Oscar Wilde’s most celebrated comedy of identity, impersonation, and romance, filmed live from the National Theatre in London. (NTL)"
30,"JANIN, JENIN",2024,Mohammad Bakri,60,Chicago Palestine Film Festival,"Filmmaker Q&A, Encore Added",Palestine,In English and Arabic with English subtitles | Format: Digital,https://www.siskelfilmcenter.org//janin-jenin,"JANIN, JENIN","Building on his 2002 film JENIN, JENIN, Mohammad Bakri revisits the Jenin refugee camp, reflecting on the devastation caused by Israel’s 2023 invasion. Divided into four parts, JANIN, JENIN reveals the personal toll of continuous conflict and challenges audiences to consider the deeper, human implications of enduring political struggle. Preceded by $17.74 (2024, dir. Justin Mashouf, 13 min.) and UPSHOT (2024, dir. Maha El Haj, 34 min.). The Saturday, April 26, 7:00 p.m. presentation will include a filmmaker Q&A."
31,DOC10 SHORTS PROGRAM,2024,Various directors,112,,Post-Screening Discussion,USA/France/Mauritius/Germany/UK,In English and Creole and Chinese with English subtitles | Format: Digital,https://www.siskelfilmcenter.org//doc10-shorts-program,DOC10 SHORTS PROGRAM,"The Doc10 Film Festival presents the Chicago premieres of eight acclaimed nonfiction short films, of all varieties and sizes: In HOW THE WEST WAS FUN (dirs. Sarah Garrahan, Sue Ding, 14 min., pictured), a diverse group of Wild West theme park visitors reimagine themselves in the American West; THE PEOPLE COULD FLY (Imani Dennison, 21 min.) is a poetic look at roller skating rinks as a sanctuary for the Black community; the lyrical, beautifully animated BLACK TIDE (dir. Kim Yip Tong, 14 min.) retells a 2020 ecological disaster off the coast of Mauritius; filmmaker Hao Zhou searches for reconciliation between their gender identity and their family’s beliefs in CORRECT ME IF I'M WRONG (21 min.); a lifelong hobby becomes both a lifeline and a pathway to Twitch fame in LIVESTREAMS WITH GRANDMAPUZZLES (dir. Emily Sheskin, 6 min.); NORMAN TEAGUE: LOVE REIGNS SUPREME (dir. Adewole Abioye, 16 min.) is a portrait of the acclaimed Chicago furniture maker and conceptual artist; MAN NUMBER 4 (dir. Miranda Pennell, 10 min.) is a provocative essay on what it means to look at images of war; and in SHANTI RIDES SHOTGUN (8 min.), Charles Frank follows New York City’s most iconic driving instructor."
32,DOC 10: THE INFILTRATORS,2019,"Cristina Ibarra, Alex Rivera",95,,Post-Screening Discussion,USA,In English and Spanish with English subtitles | Format: Digital,https://www.siskelfilmcenter.org//doc-10-infiltrators,DOC 10: THE INFILTRATORS,"With ripped-from-the-headlines relevance, though set during the Obama years, THE INFILTRATORS chronicles the riveting, unbelievably true story of a group of activist Dreamers who slipped undercover into ICE detention centers to stop those inside from being deported. With a “formally daring” (Indiewire) mix of fiction and documentary, filmmakers Ibarra and Rivera track young Marco Saavedra as he gets himself arrested in order to save a Mexican father from getting thrown out of the country. Once inside the facility, Saavedra, along with another covert counterpart, Viridiana Martinez, expand their mission to give aid to a wide range of multinational immigrants—until ICE officials stumble onto their schemes. “Like watching a classic prison film” (The Boston Globe), THE INFILTRATORS is a “thrill…. In gripping fashion, Ibarra and Rivera maintain an effortless balance between genre-rooted entertainment and concern for real human suffering” (The Hollywood Reporter). Winner of the Audience Award and Innovator Award, 2019 Sundance Film Festival’s NEXT section."
33,AT THE RISK OF SEEMING RIDICULOUS,1994,Mary Patten,75,Conversations at the Edge,Artist Dialogue,USA,In English | Format: Digital,https://www.siskelfilmcenter.org//mary-patten,Mary Patten: AT THE RISK OF SEEMING RIDICULOUS,"The work of Chicago-based artist and activist Mary Patten operates between the realms of poetry and politics, posing expansive questions drawn from a life deeply engaged with social and political movements. In a program wryly titled after a truncated quote by Che Guevara, she presents a selection of readings and videos spanning from the mid-1990s to the present. These include video essays, diaries, and documentation of the fight against the AIDS epidemic, struggles to free political prisoners, and anti-imperialist movements. Often assembled from the fragments of everyday life—newspaper clippings, letters, snapshots, half-remembered conversations, found objects, and other ephemera—these works embody Patten’s project to face as well as fictionalize her “checkered biography” and its contradictory entanglements between the call to respond to political urgencies and the desire to live an “artist’s life.” Followed by a conversation with the artist."
34,DOC10: 2000 METERS TO ANDRIIVKA,2025,Mstyslav Chernov,107,,Post-Screening Discussion,Ukraine,In English and Ukrainian with English subtitles | Format: Digital,https://www.siskelfilmcenter.org//doc10-2000-meters-andriivka,DOC10: 2000 METERS TO ANDRIIVKA,"As enthralling and haunting as war cinema classics ALL QUIET ON THE WESTERN FRONT and APOCALYPSE NOW, the new film from the Oscar-winning director of 20 DAYS IN MARIUPOL plunges the viewer into the trenches of Eastern Ukraine. It is 2023. Amid Ukraine’s brutalizing counteroffensive, the film follows Ukrainian platoons as they traverse a thin corridor of decimated forest, fighting for every inch of their land and creeping ever closer—2000 meters, 1000 meters, 500 meters—to retake the town of Andriivka. Mstyslav Chernov skillfully balances heart-stopping helmet-cam combat footage with profoundly intimate moments with the soldiers, revealing their vulnerability and humanity. Still as timely as ever, with stakes that couldn’t be higher for the Ukrainian people, or for Chernov himself. Winner of a Sundance Directing Award, 2000 METERS TO ANDRIIKVA is “gut wrenching” (Toronto Star), “pensively devastating” (Variety), and “the most unbearably intense war documentary you’ll ever see” (The Daily Beast)"
35,DOC10: MISTRESS DISPELLER,2024,Elizabeth Lo,94,,Post-Screening Discussion,China/USA,In Mandarin with English subtitles | Format: Digital,https://www.siskelfilmcenter.org//doc10-mistress-dispeller,DOC10: MISTRESS DISPELLER,"One of the most acclaimed documentaries of the year and winner of nearly a dozen festival awards, this deeply fascinating family portrait follows the emotional journey of Mrs. Li, an upper-middle-class Chinese woman who learns her husband is having an affair. Desperate to save her marriage, Mrs. Li hires a “mistress dispeller” —a crafty young female professional named Wang Zhenxi—to repair her love life. Unfolding in almost real time, MISTRESS DISPELLER follows “Teacher” Wang as she clandestinely befriends both the cheating husband and the mistress, all part of her intricate master plan to restore the family’s equilibrium. “A spellbindingly intimate tale” (POV Magazine), this exquisitely photographed docu-drama is “a profound and searching panorama of loneliness and partnership,” (IndieWire) and a “highly effective [and] delicately realized examination of marriage in modern China (Screen Daily)."
36,FORGETTING VIETNAM,2016,Trinh T. Minh-ha,90,Shadows of War Lecture Series,,USA/South Korea/Germany,In Vietnamese with English subtitles | Format: Digital,https://www.siskelfilmcenter.org//forgetting-vietnam,FORGETTING VIETNAM,"Highly influential as a feminist and postcolonial theorist, Trinh T. Minh-ha’s experimental films challenge narrative and cinematic conventions while raising critical social issues. FORGETTING VIETNAM combines footage from 1995 and 2012, and is a mediation on the legacy of Vietnam in contemporary society framed by two ancient myths: that Vietnam was formed when two fighting dragons fell into the South China Sea; and that the origin of Viet people traces back to the union between a fairy and a dragon."
