Title,Year,Director,Josh Larsen,Nick Davis,Link,jamie loftus,risesinthewest,crhoesing,Aria,n23haynes,Adam Kempenaar,Maia,ratbathman,Mitra Jouhari,Caitlin Durante,victoire13,Monika Kothari
Oddity,2024,Damian Mc Carthy,,,https://letterboxd.com//film/oddity-2024/,,4.0,4.0,,,,,3.5,,,,
Hit Man,2023,Richard Linklater,3.0,3.0,https://letterboxd.com//film/hit-man-2023/,,,,,2.0,4.0,,3.5,,,,
Challengers,2024,Luca Guadagnino,4.0,2.0,https://letterboxd.com//film/challengers/,,,3.5,4.0,4.5,4.0,4.0,,5.0,,,
Furiosa: A Mad Max Saga,2024,George Miller,4.5,3.0,https://letterboxd.com//film/furiosa-a-mad-max-saga/,3.0,,4.0,,,3.5,,4.5,,,,
Polite Society,2023,Nida Manzoor,,,https://letterboxd.com//film/polite-society/,5.0,,,,,,,,,,,
On the Count of Three,2021,Jerrod Carmichael,,,https://letterboxd.com//film/on-the-count-of-three/,,,,,,,,,,,,
The Piano,1993,Jane Campion,5.0,5.0,https://letterboxd.com//film/the-piano/,,,,,,2.5,,,,,,
Starship Troopers,1997,Paul Verhoeven,,,https://letterboxd.com//film/starship-troopers/,,3.0,,,,,,,,,,
Jackass Forever,2022,Jeff Tremaine,,2.5,https://letterboxd.com//film/jackass-forever/,,,,,,,,,5.0,,,
Happening,2021,Audrey Diwan,,5.0,https://letterboxd.com//film/happening/,,,,,,,,,,,,
Asteroid City,2023,Wes Anderson,4.0,4.0,https://letterboxd.com//film/asteroid-city/,,4.5,3.5,3.0,4.0,4.5,,,,,3.5,
Petite Maman,2021,Céline Sciamma,4.0,3.0,https://letterboxd.com//film/petite-maman/,,,,,,5.0,,,,,,
They Cloned Tyrone,2023,Juel Taylor,3.0,,https://letterboxd.com//film/they-cloned-tyrone/,,,,,,,,,,,,
Civil War,2024,Alex Garland,3.5,,https://letterboxd.com//film/civil-war-2024/,,3.5,,3.0,4.0,2.5,,4.0,,,,
GoodFellas,1990,Martin Scorsese,4.5,,https://letterboxd.com//film/goodfellas/,5.0,,4.0,,,5.0,,,5.0,,,
,,,,,https://letterboxd.com//film/before-sunset/,,,,,,,,,,,,
All Dirt Roads Taste of Salt,2023,Raven Jackson,4.0,4.0,https://letterboxd.com//film/all-dirt-roads-taste-of-salt/,,,,,,,,,,,,3.5
The Killer,2023,David Fincher,3.5,3.0,https://letterboxd.com//film/the-killer-2023/,,4.0,,,4.0,4.0,,,,,,
Morvern Callar,2002,Lynne Ramsay,,,https://letterboxd.com//film/morvern-callar/,,,,,,,,,,,,
"Three Billboards Outside Ebbing, Missouri",2017,Martin McDonagh,1.5,2.0,https://letterboxd.com//film/three-billboards-outside-ebbing-missouri/,,,5.0,,,4.0,,,,,,
Frances Ha,2012,Noah Baumbach,3.5,,https://letterboxd.com//film/frances-ha/,,,,,,3.0,,,,,4.0,
The Wonderful Story of Henry Sugar,2023,Wes Anderson,4.0,3.5,https://letterboxd.com//film/the-wonderful-story-of-henry-sugar/,,,3.5,,3.5,,,,,,,
Love Lies Bleeding,2024,Rose Glass,3.5,4.0,https://letterboxd.com//film/love-lies-bleeding-2024/,,,,3.0,3.0,4.0,,3.5,5.0,,,
Monica,2022,Andrea Pallaoro,,3.0,https://letterboxd.com//film/monica/,,,,,,,,,,,,
Outlaw Johnny Black,2023,Michael Jai White,,,https://letterboxd.com//film/outlaw-johnny-black/,,,,,,,,,,,,
The Unbearable Weight of Massive Talent,2022,Tom Gormican,3.5,,https://letterboxd.com//film/the-unbearable-weight-of-massive-talent/,,3.0,,4.5,,,,,,,,
No Hard Feelings,2023,Gene Stupnitsky,,,https://letterboxd.com//film/no-hard-feelings-2023/,,,,,,2.5,4.0,,,,,1.5
The Zone of Interest,2023,Jonathan Glazer,4.0,3.5,https://letterboxd.com//film/the-zone-of-interest/,4.0,,4.0,5.0,,4.5,4.5,,,,4.0,
Society of the Snow,2023,J.A. Bayona,,2.5,https://letterboxd.com//film/society-of-the-snow/,,,,,,,,,,,,
El Conde,2023,Pablo Larraín,,3.0,https://letterboxd.com//film/el-conde/,,,,,,,,,,,,
,,,,,https://letterboxd.com//film/drive-away-dolls/,,,,,,,,,,,,
RoboCop,1987,Paul Verhoeven,3.5,,https://letterboxd.com//film/robocop/,,,,,,,,,,,,
Piggy,2022,Carlota Pereda,,,https://letterboxd.com//film/piggy-2022/,,,,,,,,,,,,
Barbie,2023,Greta Gerwig,4.0,4.0,https://letterboxd.com//film/barbie/,5.0,4.0,4.0,4.0,3.5,3.5,,,,,5.0,3.5
The Teachers’ Lounge,2023,İlker Çatak,,2.5,https://letterboxd.com//film/the-teachers-lounge-2023/,,,,,,4.5,,,,,,3.0
All of Us Strangers,2023,Andrew Haigh,4.0,1.5,https://letterboxd.com//film/all-of-us-strangers/,,,,4.0,,5.0,,,,,,3.5
Casablanca,1942,Michael Curtiz,5.0,,https://letterboxd.com//film/casablanca/,4.5,,4.0,,,4.5,,,,,3.5,
American Fiction,2023,Cord Jefferson,3.5,2.0,https://letterboxd.com//film/american-fiction/,,5.0,,,3.5,3.5,4.0,,,,4.0,3.0
May December,2023,Todd Haynes,,,https://letterboxd.com//film/may-december/,,,,,,,,,,,,
Sanctuary,2022,Zachary Wigon,,,https://letterboxd.com//film/sanctuary-2022/,,,,,,,,,,,,
Anatomy of a Fall,2023,Justine Triet,4.0,4.5,https://letterboxd.com//film/anatomy-of-a-fall/,5.0,,4.0,,4.0,4.5,5.0,,5.0,,,4.0
Werewolves Within,2021,Josh Ruben,,,https://letterboxd.com//film/werewolves-within/,,,,,,,,,,,,
The Holdovers,2023,Alexander Payne,4.0,1.0,https://letterboxd.com//film/the-holdovers/,4.0,,5.0,,4.0,4.5,,,,,5.0,4.0
Violent Night,2022,Tommy Wirkola,,,https://letterboxd.com//film/violent-night/,,,,,,,,,,,,
Lamb,2021,Valdimar Jóhannsson,4.0,,https://letterboxd.com//film/lamb-2021/,,3.0,,,,,,,,,,
Lamb,2021,Valdimar Jóhannsson,4.0,,https://letterboxd.com//film/poor-things-2023/,,3.0,,,,,,,,,,
Fallen Leaves,2023,Aki Kaurismäki,3.5,3.5,https://letterboxd.com//film/fallen-leaves-2023/,4.0,,,,4.0,4.0,,,,,,4.0
Master Gardener,2022,Paul Schrader,2.5,2.0,https://letterboxd.com//film/master-gardener/,,,,,,3.5,,,,,,
Saltburn,2023,Emerald Fennell,3.0,4.0,https://letterboxd.com//film/saltburn/,,4.5,4.5,4.0,5.0,,2.0,5.0,,,5.0,3.5
The Artifice Girl,2022,Franklin Ritch,,,https://letterboxd.com//film/the-artifice-girl/,,,,,,4.0,,,,,,
7 Days,2021,Roshan Sethi,,,https://letterboxd.com//film/7-days-2021/,,,,,,,,,,,,
Shiva Baby,2020,Emma Seligman,3.5,2.0,https://letterboxd.com//film/shiva-baby-2020/,,,,,,3.5,3.5,,,,5.0,
Aftersun,2022,Charlotte Wells,4.5,4.5,https://letterboxd.com//film/aftersun/,,,,,,4.5,5.0,,,,,
Sisu,2022,Jalmari Helander,,,https://letterboxd.com//film/sisu-2022/,,,,,,3.0,,,,,,
Rodeo,2022,Lola Quivoron,4.0,,https://letterboxd.com//film/rodeo-2022/,,,,,,,,,,,,
Earth Mama,2023,Savanah Leaf,4.0,4.0,https://letterboxd.com//film/earth-mama/,,,,,,,,,,,,
Dungeons & Dragons: Honor Among Thieves,2023,"John Francis Daley, Jonathan Goldstein",3.5,,https://letterboxd.com//film/dungeons-dragons-honor-among-thieves/,,3.0,,,1.0,3.5,,,,,,3.5
Showing Up,2022,Kelly Reichardt,3.5,3.0,https://letterboxd.com//film/showing-up-2022/,,,,,,4.5,,,,,,
