Title,Year,Director,Rating,Watch Date,LB_Film_Link
Frances Ha,2012,Noah Baumbach,4.0,2024-04-01,https://letterboxd.com//film/frances-ha/
The Wonderful Story of Henry Sugar,2023,Wes Anderson,2.5,2024-04-01,https://letterboxd.com//film/the-wonderful-story-of-henry-sugar/
Love Lies Bleeding,2024,Rose Glass,3.5,2024-03-26,https://letterboxd.com//film/love-lies-bleeding-2024/
Monica,2022,Andrea Pallaoro,3.5,2024-03-25,https://letterboxd.com//film/monica/
Outlaw Johnny Black,2023,Michael Jai White,0.0,2024-03-25,https://letterboxd.com//film/outlaw-johnny-black/
The Unbearable Weight of Massive Talent,2022,Tom Gormican,3.5,2024-03-22,https://letterboxd.com//film/the-unbearable-weight-of-massive-talent/
No Hard Feelings,2023,Gene Stupnitsky,2.5,2024-03-16,https://letterboxd.com//film/no-hard-feelings-2023/
The Zone of Interest,2023,Jonathan Glazer,3.5,2024-03-08,https://letterboxd.com//film/the-zone-of-interest/
Society of the Snow,2023,J.A. Bayona,0.0,2024-03-07,https://letterboxd.com//film/society-of-the-snow/
El Conde,2023,Pablo Larraín,0.0,2024-03-04,https://letterboxd.com//film/el-conde/
Drive-Away Dolls,2024,Ethan Coen,2.5,2024-02-29,https://letterboxd.com//film/drive-away-dolls/
RoboCop,1987,Paul Verhoeven,0.0,2024-02-16,https://letterboxd.com//film/robocop/
Piggy,2022,Carlota Pereda,0.0,2024-02-15,https://letterboxd.com//film/piggy-2022/
Barbie,2023,Greta Gerwig,3.5,2024-02-15,https://letterboxd.com//film/barbie/
The Teachers' Lounge,2023,İlker Çatak,3.5,2024-02-04,https://letterboxd.com//film/the-teachers-lounge-2023/
All of Us Strangers,2023,Andrew Haigh,4.0,2024-01-26,https://letterboxd.com//film/all-of-us-strangers/
Casablanca,1942,Michael Curtiz,2.5,2024-01-20,https://letterboxd.com//film/casablanca/
American Fiction,2023,Cord Jefferson,2.5,2024-01-12,https://letterboxd.com//film/american-fiction/
May December,2023,Todd Haynes,4.0,2024-01-05,https://letterboxd.com//film/may-december/
Sanctuary,2022,Zachary Wigon,0.0,2024-01-01,https://letterboxd.com//film/sanctuary-2022/
Anatomy of a Fall,2023,Justine Triet,3.5,2023-12-30,https://letterboxd.com//film/anatomy-of-a-fall/
Werewolves Within,2021,Josh Ruben,0.0,2023-12-25,https://letterboxd.com//film/werewolves-within/
The Holdovers,2023,Alexander Payne,4.0,2023-12-25,https://letterboxd.com//film/the-holdovers/
Violent Night,2022,Tommy Wirkola,0.0,2023-12-22,https://letterboxd.com//film/violent-night/
Lamb,2021,Valdimar Jóhannsson,0.0,2023-12-17,https://letterboxd.com//film/lamb-2021/
Poor Things,2023,Yorgos Lanthimos,3.5,2023-12-15,https://letterboxd.com//film/poor-things-2023/
Fallen Leaves,2023,Aki Kaurismäki,0.0,2023-12-08,https://letterboxd.com//film/fallen-leaves-2023/
Master Gardener,2022,Paul Schrader,0.0,2023-12-07,https://letterboxd.com//film/master-gardener/
Saltburn,2023,Emerald Fennell,3.5,2023-12-03,https://letterboxd.com//film/saltburn/
The Artifice Girl,2022,Franklin Ritch,3.5,2023-11-21,https://letterboxd.com//film/the-artifice-girl/
7 Days,2021,Roshan Sethi,2.5,2023-11-18,https://letterboxd.com//film/7-days-2021/
Shiva Baby,2020,Emma Seligman,3.5,2023-11-14,https://letterboxd.com//film/shiva-baby-2020/
Aftersun,2022,Charlotte Wells,2.5,2023-11-11,https://letterboxd.com//film/aftersun/
Sisu,2022,Jalmari Helander,0.0,2023-10-30,https://letterboxd.com//film/sisu-2022/
Rodeo,2022,Lola Quivoron,2.5,2023-10-24,https://letterboxd.com//film/rodeo-2022/
Earth Mama,2023,Savanah Leaf,4.0,2023-10-20,https://letterboxd.com//film/earth-mama/
Dungeons & Dragons: Honor Among Thieves,2023,"John Francis Daley, Jonathan Goldstein",2.5,2023-10-13,https://letterboxd.com//film/dungeons-dragons-honor-among-thieves/
Showing Up,2022,Kelly Reichardt,0.0,2023-10-03,https://letterboxd.com//film/showing-up-2022/
Portrait of a Lady on Fire,2019,Céline Sciamma,4.0,2023-09-23,https://letterboxd.com//film/portrait-of-a-lady-on-fire/
Before Sunrise,1995,Richard Linklater,2.5,2023-09-17,https://letterboxd.com//film/before-sunrise/
Bottoms,2023,Emma Seligman,2.5,2023-09-10,https://letterboxd.com//film/bottoms/
The Power of One: The Pokémon 2000 Movie Special,2000,Richard Brian DiPirro,0.0,2023-09-01,https://letterboxd.com//film/the-power-of-one-the-pokemon-2000-movie-special/
Oppenheimer,2023,Christopher Nolan,0.0,2023-08-28,https://letterboxd.com//film/oppenheimer-2023/
The Last Unicorn,1982,"Arthur Rankin, Jr., Jules Bass",0.0,2023-08-25,https://letterboxd.com//film/the-last-unicorn/
Talk to Me,2022,"Michael Philippou, Danny Philippou",2.5,2023-08-06,https://letterboxd.com//film/talk-to-me-2022/
Joy Ride,2023,Adele Lim,2.5,2023-07-31,https://letterboxd.com//film/joy-ride-2023/
Spider-Man: Into the Spider-Verse,2018,"Bob Persichetti, Peter Ramsey, Rodney Rothman",3.5,2023-07-21,https://letterboxd.com//film/spider-man-into-the-spider-verse/
Princess Mononoke,1997,Hayao Miyazaki,3.5,2023-07-15,https://letterboxd.com//film/princess-mononoke/
Adaptation.,2002,Spike Jonze,0.0,2023-07-05,https://letterboxd.com//film/adaptation/
Sorry to Bother You,2018,Boots Riley,3.5,2023-06-16,https://letterboxd.com//film/sorry-to-bother-you/
Past Lives,2023,Celine Song,4.0,2023-06-16,https://letterboxd.com//film/past-lives/
All the Beauty and the Bloodshed,2022,Laura Poitras,3.5,2023-06-05,https://letterboxd.com//film/all-the-beauty-and-the-bloodshed/
You Hurt My Feelings,2023,Nicole Holofcener,0.0,2023-05-31,https://letterboxd.com//film/you-hurt-my-feelings-2023/
Twilight,2008,Catherine Hardwicke,0.0,2023-05-12,https://letterboxd.com//film/twilight-2008/
The Lighthouse,2019,Robert Eggers,0.0,2023-05-09,https://letterboxd.com//film/the-lighthouse-2019/
Crazy Rich Asians,2018,Jon M. Chu,0.0,2023-04-28,https://letterboxd.com//film/crazy-rich-asians/
Bean,1997,Mel Smith,0.0,2023-04-14,https://letterboxd.com//film/bean/
Tank Girl,1995,Rachel Talalay,0.0,2023-04-07,https://letterboxd.com//film/tank-girl/
Pride & Prejudice,2005,Joe Wright,0.0,2023-03-17,https://letterboxd.com//film/pride-prejudice/
Inspector Ike,2020,Graham Mason,0.0,2023-02-24,https://letterboxd.com//film/inspector-ike/
M3GAN,2022,Gerard Johnstone,0.0,2023-02-02,https://letterboxd.com//film/m3gan/
Rampant,2018,Kim Sung-hoon,0.0,2023-01-27,https://letterboxd.com//film/rampant/
Decision to Leave,2022,Park Chan-wook,3.5,2023-01-21,https://letterboxd.com//film/decision-to-leave/
You Were Never Really Here,2017,Lynne Ramsay,0.0,2023-01-15,https://letterboxd.com//film/you-were-never-really-here/
TÁR,2022,Todd Field,4.0,2023-01-14,https://letterboxd.com//film/tar-2022/
Reign of Fire,2002,Rob Bowman,0.0,2023-01-13,https://letterboxd.com//film/reign-of-fire/
Idle Hands,1999,Rodman Flender,0.0,2023-01-06,https://letterboxd.com//film/idle-hands/
Tommy Boy,1995,Peter Segal,0.0,2022-12-30,https://letterboxd.com//film/tommy-boy/
Three Thousand Years of Longing,2022,George Miller,2.5,2022-12-26,https://letterboxd.com//film/three-thousand-years-of-longing/
No Time to Die,2021,Cary Joji Fukunaga,2.5,2022-12-26,https://letterboxd.com//film/no-time-to-die-2021/
Brian and Charles,2022,Jim Archer,3.5,2022-12-26,https://letterboxd.com//film/brian-and-charles-2022/
Tenet,2020,Christopher Nolan,0.0,2022-12-25,https://letterboxd.com//film/tenet/
Shang-Chi and the Legend of the Ten Rings,2021,Destin Daniel Cretton,0.0,2022-12-24,https://letterboxd.com//film/shang-chi-and-the-legend-of-the-ten-rings/
Dune,2021,Denis Villeneuve,2.5,2022-12-23,https://letterboxd.com//film/dune-2021/
Don’t Look Up,2021,Adam McKay,0.0,2022-12-23,https://letterboxd.com//film/dont-look-up-2021/
Dinner in America,2020,Adam Rehmeier,4.0,2022-12-13,https://letterboxd.com//film/dinner-in-america/
Dredd,2012,Pete Travis,2.5,2022-12-09,https://letterboxd.com//film/dredd/
The Banshees of Inisherin,2022,Martin McDonagh,0.0,2022-12-03,https://letterboxd.com//film/the-banshees-of-inisherin/
Sister Act,1992,Emile Ardolino,0.0,2022-12-02,https://letterboxd.com//film/sister-act/
Kimi,2022,Steven Soderbergh,0.0,2022-11-29,https://letterboxd.com//film/kimi/
Elf,2003,Jon Favreau,0.0,2022-11-25,https://letterboxd.com//film/elf/
Thoroughbreds,2017,Cory Finley,0.0,2022-11-19,https://letterboxd.com//film/thoroughbreds-2017/
