Title,Year,Director,Showtime,Showtime_Date,Showtime_Time
CLOWN IN A CORNFIELD,2025,Eli Craig,2025-05-09 21:45:00,2025-05-09,21:45:00
CLOWN IN A CORNFIELD,2025,Eli Craig,2025-05-09 23:59:00,2025-05-09,23:59:00
TALL TALES,2025,Mark Pritchard,2025-05-09 17:00:00,2025-05-09,17:00:00
THE FISHBOWL,2023,Glorimar Marrero-Sánchez,2025-05-09 19:00:00,2025-05-09,19:00:00
MURDER AND MURDER,1996,Yvonne Rainer,2025-05-10 11:30:00,2025-05-10,11:30:00
TALL TALES,2025,Mark Pritchard,2025-05-10 14:30:00,2025-05-10,14:30:00
CLOWN IN A CORNFIELD,2025,Eli Craig,2025-05-10 16:15:00,2025-05-10,16:15:00
CLOWN IN A CORNFIELD,2025,Eli Craig,2025-05-10 21:30:00,2025-05-10,21:30:00
THE LEGEND OF KINGDOM COME,2024,Remsy Atassi,2025-05-10 19:00:00,2025-05-10,19:00:00
HUNDREDS OF BEAVERS,2022,Mike Cheslik,2025-05-10 23:59:00,2025-05-10,23:59:00
JOHNNY GUITAR,1954,Nicholas Ray,2025-05-11 11:30:00,2025-05-11,11:30:00
MUSIC BOX MOVIE TRIVIA,,,2025-05-11 16:00:00,2025-05-11,16:00:00
HUNDREDS OF BEAVERS,2022,Mike Cheslik,2025-05-11 19:00:00,2025-05-11,19:00:00
CLOWN IN A CORNFIELD,2025,Eli Craig,2025-05-11 21:30:00,2025-05-11,21:30:00
JOHNNY GUITAR,1954,Nicholas Ray,2025-05-12 16:00:00,2025-05-12,16:00:00
BUT I'M A CHEERLEADER,1999,Jamie Babbit,2025-05-12 19:00:00,2025-05-12,19:00:00
FRIENDSHIP,2025,Andrew DeYoung,2025-05-12 19:30:00,2025-05-12,19:30:00
TASTE THE REVOLUTION,2001,Daniel Klein,2025-05-13 19:00:00,2025-05-13,19:00:00
QUEENS OF DRAMA,2024,Alexis Langlois,2025-05-13 19:00:00,2025-05-13,19:00:00
ENO,2024,Gary Hustwit,2025-05-15 19:00:00,2025-05-15,19:00:00
ANGELHEADED HIPSTER: THE SONGS OF MARC BOLAN & T. REX,2022,Ethan Silverman,2025-05-16 19:00:00,2025-05-16,19:00:00
TIMES SQUARE,1980,Allan Moyle,2025-05-16 21:15:00,2025-05-16,21:15:00
DINNER WITH LEATHERFACE,2024,Michael Kallio,2025-05-16 23:45:00,2025-05-16,23:45:00
DESPERATE LIVING,1977,John Waters,2025-05-16 23:59:00,2025-05-16,23:59:00
PORTRAIT OF A LADY ON FIRE,2019,Céline Sciamma,2025-05-17 11:30:00,2025-05-17,11:30:00
LIFERS: A LOCAL H MOVIE,2024,Scott Lucas,2025-05-17 19:00:00,2025-05-17,19:00:00
WALK HARD: THE DEWEY COX STORY,2007,Jake Kasdan,2025-05-17 21:15:00,2025-05-17,21:15:00
DINNER WITH LEATHERFACE,2024,Michael Kallio,2025-05-17 23:45:00,2025-05-17,23:45:00
THE ROOM,2003,Tommy Wiseau,2025-05-17 23:59:00,2025-05-17,23:59:00
SAVING FACE,2004,Alice Wu,2025-05-18 11:30:00,2025-05-18,11:30:00
NO OTHER LAND,2024,"Basel Adra, Hamdan Ballal, Yuval Abraham, Rachel Szor",2025-05-18 11:45:00,2025-05-18,11:45:00
MUSIC BOX MOVIE TRIVIA,,,2025-05-18 16:00:00,2025-05-18,16:00:00
SAVE THE CHILDREN,1973,Stan Lathan,2025-05-18 16:30:00,2025-05-18,16:30:00
I AM TRYING TO BREAK YOUR HEART,2002,Sam Jones,2025-05-18 19:00:00,2025-05-18,19:00:00
D.E.B.S.,2004,Angela Robinson,2025-05-22 21:45:00,2025-05-22,21:45:00
ONE CUT OF THE DEAD,2017,Shinichiro Ueda,2025-05-23 23:45:00,2025-05-23,23:45:00
STOP MAKING SENSE,1984,Jonathan Demme,2025-05-23 23:59:00,2025-05-23,23:59:00
PERSONA,1966,Ingmar Bergman,2025-05-24 11:30:00,2025-05-24,11:30:00
RAN,1985,Akira Kurosawa,2025-05-24 14:00:00,2025-05-24,14:00:00
ONE CUT OF THE DEAD,2017,Shinichiro Ueda,2025-05-24 23:45:00,2025-05-24,23:45:00
ROCKY HORROR PICTURE SHOW,1975,Jim Sharman,2025-05-24 23:59:00,2025-05-24,23:59:00
BORN IN FLAMES,1983,Lizzie Borden,2025-05-25 11:30:00,2025-05-25,11:30:00
RAN,1985,Akira Kurosawa,2025-05-26 12:00:00,2025-05-26,12:00:00
JAWS,1975,Steven Spielberg,2025-05-26 21:00:00,2025-05-26,21:00:00
THE RUNAWAYS,2010,Floria Sigismondi,2025-05-28 19:00:00,2025-05-28,19:00:00
BOUND,1996,"Lana Wachowski, Lilly Wachowski",2025-05-30 19:00:00,2025-05-30,19:00:00
TALES FROM THE HOOD,1995,Rusty Cundieff,2025-05-30 22:30:00,2025-05-30,22:30:00
THE WATERMELON WOMAN,1996,Cheryl Dunye,2025-05-31 11:30:00,2025-05-31,11:30:00
FANTASTIC MR. FOX,2009,Wes Anderson,2025-05-31 11:30:00,2025-05-31,11:30:00
FANTASTIC MR. FOX,2009,Wes Anderson,2025-05-31 22:30:00,2025-05-31,22:30:00
THE COMPOUND LIVE WITH IAN HAPP AND SPECIAL GUESTS,,,2025-05-31 19:00:00,2025-05-31,19:00:00
