Title,Year,Runtime,Format,Director,Writer,Cast,Description,Link,Theater,Scrape_Datetime
SHORTS PROGRAM 3 - WHAT BREAKS THROUGH,,94,DCP,,,,"IN ANOTHER LIFE (Dir. Tristan Blue, 2024, 9 min)Secluded in the coastal forests of Northern California, an elder queer hermit searches for strange frequencies hidden in nature. While manipulating the noise in their makeshift studio, they have repeated visions of a mysterious cave and a person they believe to be another version of themself. In attempt to commune with this being they embark to find the cave and are confronted with a strange and cathartic experience. THE TRUCK (Dir. Elizabeth Rao, 2024, 13 min)A Chinese American teenager and her boyfriend set out to buy the morning after pill in post-Roe America. THE FINGER WIFE (Dir. Taryn Stickrath-Hutt & Dan Lund, 2025, 8 min)It’s 1975. A smart, ambitious woman (The Wife) is stuck in the kitchen. When feisty, martini-drinking Betty steps out of a 1950s cookbook, The Wife is confronted with what she really wants out of life (it's not to make another meatloaf). Faced with Betty’s tough love and in a desperate effort to find one damn minute for herself, The Wife takes matters into her own hands, with gleefully horrific results. UNDER THE WATER (Dir. Isabella Andronos, 2023, 11 min)In a quiet coastal town, eleven-year-old Olivia faces constant misogynistic harassment from the boys and men around her. She finds solace in an old picture book; a tale of sirens who rise from the crashing waves to fight back against their captors. As strange signs draw her toward the sea, she follows a spectral woman into the depths. What begins as a retreat into fantasy becomes a radical act of reclamation, as Olivia emerges with a voice sharpened by rage and ancient power. PRIVATE MOMENTS (Dir. Jessica Barr, 2025, 13 min)Noelle is a dedicated acting student struggling to stay present in class while processing a recent abortion—and a new crush on classmate Tyler. When their intense teacher, Jamie, pairs them for an improvised scene and pushes boundaries, Noelle is forced to confront how much of her real life she's willing to expose on stage. A BLACK HOLE NEAR KENT COUNTY (Dir. Hannah Schierbeek, 2023, 15 min)During a cold Midwestern winter, Julie, a factory driver with a mysterious illness, attempts to unravel the truth behind the loneliness and the decay that plague her and her industrial town’s waterways. AUGUST & EBONY (Dir. Sunyin Zhang, 2024, 13 min)Four-month pregnant EBONY isn’t ready for this baby and a podcast about wild childbirth stories only heightens her anxieties. Her wife of 3-months, AUGUST, comforts and reassures her…and it almost works until JUSTIN, her best friend and hook-up-turned-father of her child, bursts into the house, armed with his binder of research. Determined to save these two wholly unprepared mothers-to-be, he invites himself to stay over—much to August’s dismay. FINDING DADDY (Dir. Emily Wilson, 2025, 12 min)Sisters Dinky and Flossy are filthy, broke, and barely holding it together. But when Dinky discovers their estranged Dad flaunting wealth on some sugar baby site, she decides to confront him, dragging a skeptical Flossy back to their childhood home to uncover the truth...and maybe some cash. As the sisters confront their deadbeat Dad, old grudges and unsavory emotions resurface, but their simmering resentment might be the spark they need to turn things around.",https://musicboxtheatre.com/films-and-events/shorts-program-3-what-breaks-through,Music Box,2025-07-19T03:20:44.467214+00:00
THE BIG PICTURE,,180,DCP,,,,"Join The Ringer's Sean Fennessey and Amanda Dobbins, hosts of The Big Picture, as they watch and discuss their selection for No. 14 on their 25 for '25: The 25 Best Movies of the Century list. No, we won't tell you the movie but yes, you'll enjoy it! The screening will take place at 8 PM/CT with conversation immediately following.",https://musicboxtheatre.com/films-and-events/the-big-picture,Music Box,2025-07-19T03:20:44.467214+00:00
2025 CINEMA FEMME SHORT FILM FEST - CLOSING NIGHT SCREENING,,57,DCP,,,,"BABA I'M FINE (Dir. Karina Dandashi, 2025, 13 min)When Sama’s girlfriend blows off their Friday plans, the teen copes with romantic rejection by blasting music in her room. When her dad suggests hanging out, she agrees. Their evening takes an unexpected turn as a message forces her to choose between authenticity and keeping up appearances. A LIEN (Dir. Sam Cutler-Kreutz & David Cutler-Kreutz, 2023, 15 min)On the day of their green card interview, a young couple confronts a dangerous immigration process. RED, WHITE AND BLUE (Dir. Nazrin Choudhury, 2024, 24 min)A young mother from Arkansas is forced to travel across state lines in search of an urgent and necessary abortion. VIEW FROM THE FLOOR (Dir. Megan Griffiths, Mindie Lind, 2025, 5 min)A singer confronts inspiration porn, exploitation, and impostor syndrome in pursuit of a life on the stage without legs.",https://musicboxtheatre.com/films-and-events/2025-cinema-femme-short-film-fest-closing-night-screening,Music Box,2025-07-19T03:20:44.467214+00:00
A 'SECRET SHARK MOVIE' (90'S),,96,,,,,"Trust us, jump in the water and see what's lurking just beneath the surface.This 90s horror film is unrated and intended for mature audiences.",https://musicboxtheatre.com/films-and-events/a-secret-shark-movie-90s,Music Box,2025-07-19T03:20:44.467214+00:00
DADDY DEAREST,1984,72,DCP,Arthur J. Bressan Jr.,Arthur J. Bressan Jr.,"Jan Boscamp, Johnny Dawes, Andrew Dupree","Edward Thompson (Daniel Holt) is a gay filmmaker hard at work on his latest triple-X epic: the story of a pair of college buddies (Dean Johnson and Andrew Dupree) wanting to hook up with an older daddy (Richard Locke) called Fuck Me, Fuck Me, Daddy! But as shooting gets underway, Edward finds his happy memories of his ex (Johnny Dawes) and his private fantasies of the couple he peeps on (Jan Boscamp and Robert Vega) bleeding into the action happening on set. The concluding chapter in the loose trilogy started by Passing Strangers and Forbidden Letters, Daddy Dearest is a lighthearted but provocative exploration of fantasy, memory, and cinema.",https://musicboxtheatre.com/films-and-events/daddy-dearest,Music Box,2025-07-19T03:20:44.467214+00:00
ACOUSTIC OPEN MIC NIGHT,1984,72,DCP,,,,"On the 3rd Tuesday of the month (unless otherwise noted), join us for ""Tunes Tuesday!"" an Acoustic Open Mic Night in the Music Box Lounge hosted by Apres Pompeii. Admission is FREE! Performances run from 7-10pm (Sign-ups begin at 6pm)Every set is allotted 2 songs or 10 Minutes (whichever comes first)String Instruments ONLYPLEASE, NO AMPS!*The Music Box will provide 2 Microphones with stands and XLR cables**Monthly theme is Encouraged but NOT required!For inquiries, DM us on Instagram @Musicboxlounge",https://musicboxtheatre.com/films-and-events/acoustic-open-mic-night,Music Box,2025-07-19T03:20:44.467214+00:00
BUDDIES,1985,81,DCP,Arthur J. Bressan Jr.,Arthur J. Bressan Jr.,"Geoff Edholm, David Schachter, Billy Lux","Arthur J. Bressan Jr. (Gay USA) created this indie masterpiece in 1985, which was the first feature-length drama about AIDS. When 25 year-old gay yuppie David (David Schachter) volunteers to be a ""buddy"" to an AIDS patient, the gay community center assigns him to Robert (Geoff Edholm), a 32 year-old politically impassioned gay California gardener abandoned by his friends and lovers. Revolving around the confines of Robert's Manhattan hospital room, Bressan skillfully unfolds this devastating two-hander (the rest of the cast is only heard offscreen). As David gazes out at the piers and rooftops of Manhattan, we hear his deftly scripted diary entries in voiceover. And as David is changed by knowing Robert, so, too, are we. In the simplicity of the story and the elegance of its unfolding, Buddies achieves a rare perfection. It's a timeless portrayal of an entire era in gay history.",https://musicboxtheatre.com/films-and-events/buddies,Music Box,2025-07-19T03:20:44.467214+00:00
L FOR LEISURE,2014,74,DCP,"Whitney Horn, Lev Kalman","Whitney Horn, Lev Kalman","Gabriel Abrantes, Melissa Barrera, Bene Coopersmith",Experimental comedy set in 1992-3 follows awkward graduate students on vacations all around the world. Find out what happens when people stop being real...and start being polite.,https://musicboxtheatre.com/films-and-events/l-for-leisure,Music Box,2025-07-19T03:20:44.467214+00:00
SHARK TALE,2004,100,,"Bibo Bergeron, Vicky Jenson, Rob Letterman","Michael J. Wilson, Rob Letterman, Scott Aukerman","Will Smith, Robert De Niro, Renée Zellweger","Underachiever Oscar (Will Smith) is a pint-sized fish with grand aspirations. When mob-connected great white shark Frankie (Michael Imperioli) is accidentally killed, Oscar concocts a story with Frankie's peace-loving brother Lenny (Jack Black) that it was he who murdered the shark. Suddenly hailed ""Sharkslayer"" by his aquatic brethren, Oscar has bigger fish to fry when Frankie's father, mob boss Don Lino (Robert De Niro), dispatches his henchmen to track down his son's killer.",https://musicboxtheatre.com/films-and-events/shark-tale,Music Box,2025-07-19T03:20:44.467214+00:00
AJ GOES TO THE DOG PARK,2024,79,DCP,Toby Jones,Toby Jones,"AJ Thompson, Greg Carlson, Danny Davy","In humdrum Fargo, North Dakota, an ordinary man named AJ (AJ Thompson) wakes up on the right side of the bed every day. Content with his mundane existence, his simple routine consists of buttering cinnamon toast for breakfast, eating dinner with his married best friends, and visiting his favorite dog park with his beloved chihuahuas, Diddy and Biff. AJ rejects any interruption to his tranquility, including a promotion at work – offered by his boss who happens to be his dad, but still. Unfortunately, the despotic local mayor has converted his dog park into a “blog park” – where happy dog walkers have been replaced with corporate stooges hunched over their laptops. Thus begins a chain reaction that completely upends AJ’s existence as he trains to embark on an unforgettable odyssey to fight, fish, scrap, scrape and sap things back into place. Toby Jones (Regular Show, OK K.O.! Let’s Be Heroes!) brings the zany, gag-driven joy of cartoons to this surreal, no-budget testament to the average Joe.",https://musicboxtheatre.com/films-and-events/aj-goes-to-the-dog-park,Music Box,2025-07-19T03:20:44.467214+00:00
SKYSCRAPER,1996,96,DCP,Raymond Martino,"William Applegate Jr., Joseph John Barmettler","Anna Nicole Smith, Richard Steinmetz, Branimir Cikatiæ","A helicopter charter soon turns deadly when the female pilot finds that she is on a building held by terrorists. It is up to her and her husband to save the hostages. If you ever wished Die Hard starred Anna Nicole Smith, this direct-to-video gem is for you.",https://musicboxtheatre.com/films-and-events/skyscraper,Music Box,2025-07-19T03:20:44.467214+00:00
JUICE,1984,72,DCP,Arthur J. Bressan Jr.,Arthur J. Bressan Jr.,"Michael Christopher, Butch La Cross, Eric Ryan","Jim Bennett (Michael Christopher) is a photographer with serious artistic aspirations--much to the chagrin of his editors (Eric Ryan and Jeremy Scott) at Juice, New York's hottest gay magazine. Tasked with finding and photographing more scintillating subjects by the end of the weekend or losing his job, Jim sets off on a 48-hour odyssey through New York's porn theaters and gay bars, encountering everyone from an angelic jogger (Vincent Thomas) to a pair of opera queen leathermen (Butch La Cross and Jeff Stone) in the process. The final erotic film from Arthur J. Bressan, Jr., Juice is a playfully sophisticated satire of the age-old tug-of-war between respectable art and pornography with a climax--literally--that has to be seen to be believed.",https://musicboxtheatre.com/films-and-events/juice-1985,Music Box,2025-07-19T03:20:44.467214+00:00
FABULOUS FLEISCHER CARTOONS,,80,DCP,Max Fleischer,,,"Max Fleischer is one of the most renown pioneers in animation. From 1919 to 1942, he and his company, Fleischer Studios, produced nearly 700 cartoons. Among his many achievements, his studio was the first to animate both Popeye and Superman — and he created the legendary Betty Boop, who remains an icon of American culture to this day.Join us for 80 minutes of recently restored Fleischer Cartoons on the big screen!PROGRAMBetty Boop and GrampyImps – “Koko's Klock”Popeye – “I'm in the Army Now”Betty Boop – “Mother Goose Land”Screen Songs – “Dinah”Color Classics – “Tears of an Onion”Imps – “Koko's Kozy Korner”Betty Boop’s Bizzy BeeAesop's Fables – “Wicked City”Mutt & Jeff – “Dog Gone”Felix the Cat – “Romeow”",https://musicboxtheatre.com/films-and-events/fabulous-fleischer-cartoons,Music Box,2025-07-19T03:20:44.467214+00:00
THE AMUSEMENT PARK,1973,53,DCP,George A. Romero,Wally Cook,Lincoln Maazel,"An elderly man goes for what he assumes will be an ordinary day at the amusement park, only to find himself in the middle of a hellish nightmare instead.4K digital restoration, commissioned by the George A. Romero Foundation and carried out by IndieCollect",https://musicboxtheatre.com/films-and-events/the-amusement-park,Music Box,2025-07-19T03:20:44.467214+00:00
A NIGHTMARE ON ELM STREET 3: DREAM WARRIORS,1987,96,35mm,Chuck Russell,"Wes Craven, Bruce Wagner, Frank Darabont","Heather Langenkamp, Robert Englund, Craig Wasson","During a hallucinatory incident, young Kristen Parker (Patricia Arquette) has her wrists slashed by dream-stalking monster Freddy Krueger (Robert Englund). Her mother, mistaking the wounds for a suicide attempt, sends Kristen to a psychiatric ward, where she joins a group of similarly troubled teens. One of the doctors there is Nancy Thompson (Heather Langenkamp), who had battled Freddy some years before. Nancy senses a potential in Kristen to rid the world of Freddy once and for all.",https://musicboxtheatre.com/films-and-events/a-nightmare-on-elm-street-3-dream-warriors,Music Box,2025-07-19T03:20:44.467214+00:00
25 CATS FROM QATAR,2025,95,DCP,Mye Hoang,,,"Qatar is one of the world’s wealthiest nations, and its luxurious surface and rapid growth are powered by migrant workers who make 89% of the population. And they also feel compelled to help its struggling street cats. When an American flight attendant and cat cafe owner becomes aware of the crisis, she hatches a plan to fly 25 cats to Milwaukee, where her cat cafe provides a pipeline for adoption. Presenting a microcosm of a global crisis, the film asks searching questions about animal welfare, all within a ticking-clock narrative about the nuts and bolts of a rescue mission. It is both an urgent wake-up call and a heartwarming story of overcoming international barriers for a common goal.",https://musicboxtheatre.com/films-and-events/25-cats-from-qatar,Music Box,2025-07-19T03:20:44.467214+00:00
TANGERINE,2015,88,35mm,Sean Baker,"Sean Baker, Chris Bergoch","Kitana Kiki Rodriguez, Mya Taylor, Karren Karagulian","Sin-Dee is back. Upon hearing that her pimp boyfriend was unfaithful during the days she was jailed, the sex worker and her friend, Alexandra, set out to get to the bottom of this. Their odyssey leads them through subcultures of Los Angeles.",https://musicboxtheatre.com/films-and-events/tangerine,Music Box,2025-07-19T03:20:44.467214+00:00
JUMANJI,1995,104,,Joe Johnston,"Jonathan Hensleigh, Greg Taylor, Jim Strain","Robin Williams, Bonnie Hunt, David Alan Grier, Kirsten Dunst","Robin Williams, Kirsten Dunst and Bonnie Hunt star in the original big-screen adaptation of the award-winning children's book. When young Alan Parrish discovers a mysterious board game, he doesn't realize its unimaginable powers, until he is magically transported before the startled eyes of his friend, Sarah, into the untamed jungles of JUMANJI! There he remains for 26 years until he is freed from the game's spell by two unsuspecting children, Judy and Peter. Now a grown man, Alan reunites with Sara, and must outwit the game's powerful forces in this imaginative adventure that combines breathtaking special effects with an enchanting mixture of comedy, magic and thrills.",https://musicboxtheatre.com/films-and-events/jumanji,Music Box,2025-07-19T03:20:44.467214+00:00
DRUNKEN ANGEL,1948,98,35mm,Akira Kurosawa,"Keinosuke Uekusa, Akira Kurosawa","Takashi Shimura, Toshirô Mifune, Reizaburô Yamamoto","In this powerful early noir from the great Akira Kurosawa, Toshiro Mifune bursts onto the screen as a volatile, tubercular criminal who strikes up an unlikely relationship with Takashi Shimura's jaded physician. Set in and around the muddy swamps and back alleys of postwar Tokyo, Drunken Angel is an evocative, moody snapshot of a treacherous time and place, featuring one of the director's most memorably violent climaxes.",https://musicboxtheatre.com/films-and-events/drunken-angel,Music Box,2025-07-19T03:20:44.467214+00:00
THRONE OF BLOOD,1957,109,DCP,Akira Kurosawa,"Hideo Oguni, Shinobu Hashimoto, Ryûzô Kikushima","Toshirô Mifune, Minoru Chiaki, Isuzu Yamada","A vivid, visceral Macbeth adaptation, Throne of Blood, directed by Akira Kurosawa, sets Shakespeare’s definitive tale of ambition and duplicity in a ghostly, fog-enshrouded landscape in feudal Japan. As a hardened warrior who rises savagely to power, Toshiro Mifune gives a remarkable, animalistic performance, as does Isuzu Yamada as his ruthless wife. Throne of Blood fuses classical Western tragedy with formal elements taken from Noh theater to create an unforgettable cinematic experience.",https://musicboxtheatre.com/films-and-events/throne-of-blood,Music Box,2025-07-19T03:20:44.467214+00:00
