,Title,Year,Director,Showtime,Showtime_Date,Showtime_Time
22,BOWLING FOR COLUMBINE,2002,Michael Moore,2025-04-22 18:00:00-05:00,2025-04-22,18:00:00
23,GRAND TOUR,2024,Miguel Gomes,2025-04-22 19:45:00-05:00,2025-04-22,19:45:00
24,KILLER OF SHEEP,1978,Charles Burnett,2025-04-23 17:45:00-05:00,2025-04-23,17:45:00
25,SPACES OF EXCEPTION,2023,"Matt Peterson, Malek Rasamny",2025-04-23 18:00:00-05:00,2025-04-23,18:00:00
26,GRAND TOUR,2024,Miguel Gomes,2025-04-23 19:45:00-05:00,2025-04-23,19:45:00
27,KILLER OF SHEEP,1978,Charles Burnett,2025-04-23 20:30:00-05:00,2025-04-23,20:30:00
28,KILLER OF SHEEP,1978,Charles Burnett,2025-04-24 17:45:00-05:00,2025-04-24,17:45:00
29,ROUNDABOUT,2025,Various directors,2025-04-24 18:00:00-05:00,2025-04-24,18:00:00
30,GRAND TOUR,2024,Miguel Gomes,2025-04-24 19:45:00-05:00,2025-04-24,19:45:00
31,KILLER OF SHEEP,1978,Charles Burnett,2025-04-24 20:30:00-05:00,2025-04-24,20:30:00
32,LOVE HOTEL,1985,Shinji Somai,2025-04-25 18:00:00-05:00,2025-04-25,18:00:00
33,YOUNG HEARTS,2024,Anthony Schatteman,2025-04-25 18:15:00-05:00,2025-04-25,18:15:00
34,TO A LAND UNKNOWN,2024,Mahdi Fleifel,2025-04-25 20:00:00-05:00,2025-04-25,20:00:00
35,LOVE HOTEL,1985,Shinji Somai,2025-04-25 20:30:00-05:00,2025-04-25,20:30:00
36,LOVE HOTEL,1985,Shinji Somai,2025-04-26 12:00:00-05:00,2025-04-26,12:00:00
37,YOUNG HEARTS,2024,Anthony Schatteman,2025-04-26 12:30:00-05:00,2025-04-26,12:30:00
38,THE IMPORTANCE OF BEING EARNEST,2024,Max Webster,2025-04-26 14:00:00-05:00,2025-04-26,14:00:00
39,YOUNG HEARTS,2024,Anthony Schatteman,2025-04-26 14:45:00-05:00,2025-04-26,14:45:00
40,KILLER OF SHEEP,1978,Charles Burnett,2025-04-26 17:30:00-05:00,2025-04-26,17:30:00
41,"JANIN, JENIN",2024,Mohammad Bakri,2025-04-26 19:00:00-05:00,2025-04-26,19:00:00
42,LOVE HOTEL,1985,Shinji Somai,2025-04-26 19:30:00-05:00,2025-04-26,19:30:00
43,YOUNG HEARTS,2024,Anthony Schatteman,2025-04-27 12:00:00-05:00,2025-04-27,12:00:00
44,LOVE HOTEL,1985,Shinji Somai,2025-04-27 12:30:00-05:00,2025-04-27,12:30:00
45,THE IMPORTANCE OF BEING EARNEST,2024,Max Webster,2025-04-27 14:00:00-05:00,2025-04-27,14:00:00
46,LOVE HOTEL,1985,Shinji Somai,2025-04-27 14:30:00-05:00,2025-04-27,14:30:00
47,DOC10 SHORTS PROGRAM,2024,Various directors,2025-04-27 17:00:00-05:00,2025-04-27,17:00:00
48,YOUNG HEARTS,2024,Anthony Schatteman,2025-04-27 17:30:00-05:00,2025-04-27,17:30:00
49,REVOLUTION UNTIL VICTORY AKA WE ARE THE PALESTINIAN PEOPLE,1972,Various directors,2025-04-28 18:00:00-05:00,2025-04-28,18:00:00
50,LOVE HOTEL,1985,Shinji Somai,2025-04-28 18:15:00-05:00,2025-04-28,18:15:00
51,YOUNG HEARTS,2024,Anthony Schatteman,2025-04-28 20:15:00-05:00,2025-04-28,20:15:00
52,LOVE HOTEL,1985,Shinji Somai,2025-04-28 20:30:00-05:00,2025-04-28,20:30:00
53,DOC 10: THE INFILTRATORS,2019,"Cristina Ibarra, Alex Rivera",2025-04-29 18:00:00-05:00,2025-04-29,18:00:00
54,KILLER OF SHEEP,1978,Charles Burnett,2025-04-29 18:15:00-05:00,2025-04-29,18:15:00
55,YOUNG HEARTS,2024,Anthony Schatteman,2025-04-29 20:15:00-05:00,2025-04-29,20:15:00
56,LOVE HOTEL,1985,Shinji Somai,2025-04-29 20:30:00-05:00,2025-04-29,20:30:00
57,YOUNG HEARTS,2024,Anthony Schatteman,2025-04-30 18:00:00-05:00,2025-04-30,18:00:00
58,LOVE HOTEL,1985,Shinji Somai,2025-04-30 18:15:00-05:00,2025-04-30,18:15:00
59,KILLER OF SHEEP,1978,Charles Burnett,2025-04-30 20:15:00-05:00,2025-04-30,20:15:00
