Title,Year,Director,Showtime
"JANIN, JENIN",2024,Mohammad Bakri,2025-04-26T19:00:00-05:00
LOVE HOTEL,1985,Shinji Somai,2025-04-26T19:30:00-05:00
YOUNG HEARTS,2024,Anthony Schatteman,2025-04-27T12:00:00-05:00
LOVE HOTEL,1985,Shinji Somai,2025-04-27T12:30:00-05:00
THE IMPORTANCE OF BEING EARNEST,2024,Max Webster,2025-04-27T14:00:00-05:00
LOVE HOTEL,1985,Shinji Somai,2025-04-27T14:30:00-05:00
DOC10 SHORTS PROGRAM,2024,Various directors,2025-04-27T17:00:00-05:00
YOUNG HEARTS,2024,Anthony Schatteman,2025-04-27T17:30:00-05:00
REVOLUTION UNTIL VICTORY AKA WE ARE THE PALESTINIAN PEOPLE,1972,Various directors,2025-04-28T18:00:00-05:00
LOVE HOTEL,1985,Shinji Somai,2025-04-28T18:15:00-05:00
YOUNG HEARTS,2024,Anthony Schatteman,2025-04-28T20:15:00-05:00
LOVE HOTEL,1985,Shinji Somai,2025-04-28T20:30:00-05:00
DOC 10: THE INFILTRATORS,2019,"Cristina Ibarra, Alex Rivera",2025-04-29T18:00:00-05:00
KILLER OF SHEEP,1978,Charles Burnett,2025-04-29T18:15:00-05:00
YOUNG HEARTS,2024,Anthony Schatteman,2025-04-29T20:15:00-05:00
LOVE HOTEL,1985,Shinji Somai,2025-04-29T20:30:00-05:00
YOUNG HEARTS,2024,Anthony Schatteman,2025-04-30T18:00:00-05:00
LOVE HOTEL,1985,Shinji Somai,2025-04-30T18:15:00-05:00
KILLER OF SHEEP,1978,Charles Burnett,2025-04-30T20:15:00-05:00
LOVE HOTEL,1985,Shinji Somai,2025-04-30T20:30:00-05:00
AT THE RISK OF SEEMING RIDICULOUS,1994,Mary Patten,2025-05-01T18:00:00-05:00
LOVE HOTEL,1985,Shinji Somai,2025-05-01T18:15:00-05:00
YOUNG HEARTS,2024,Anthony Schatteman,2025-05-01T20:15:00-05:00
