Title,Year,Director,Showtime,Showtime_Date,Showtime_Time
MULHOLLAND DRIVE,2001,David Lynch,2025-04-14 15:40:00,2025-04-14,15:40:00
"I KNOW CATHERINE, THE LOG LADY",,Richard Green,2025-04-14 18:50:00,2025-04-14,18:50:00
THE ELEPHANT MAN,1980,David Lynch,2025-04-14 21:30:00,2025-04-14,21:30:00
I DON'T KNOW JACK,2002,Chris Leavens,2025-04-15 15:30:00,2025-04-15,15:30:00
ERASERHEAD,1977,David Lynch,2025-04-15 18:30:00,2025-04-15,18:30:00
DUNE,1984,David Lynch,2025-04-15 21:30:00,2025-04-15,21:30:00
BLUE VELVET REVISITED,2016,Peter Braatz,2025-04-16 15:45:00,2025-04-16,15:45:00
BLUE VELVET,1986,David Lynch,2025-04-16 18:00:00,2025-04-16,18:00:00
FROM THE HEAD,2011,George Griffith,2025-04-16 20:45:00,2025-04-16,20:45:00
RED ROCK WEST,1993,John Dahl,2025-04-17 14:00:00,2025-04-17,14:00:00
WILD AT HEART,1990,David Lynch,2025-04-17 16:15:00,2025-04-17,16:15:00
TWIN PEAKS: FIRE WALK WITH ME,1992,David Lynch,2025-04-17 19:30:00,2025-04-17,19:30:00
DAVID LYNCH: THE ART LIFE,2016,"Jon Nguyen, Rick Barnes",2025-04-18 13:00:00,2025-04-18,13:00:00
SUNSET BOULEVARD,1950,Billy Wilder,2025-04-18 15:00:00,2025-04-18,15:00:00
MULHOLLAND DRIVE,2001,David Lynch,2025-04-18 17:45:00,2025-04-18,17:45:00
BLUE VELVET,1986,David Lynch,2025-04-18 23:59:00,2025-04-18,23:59:00
ON THE AIR EPISODES 1 & 7,1992,"Mark Frost, David Lynch",2025-04-19 11:30:00,2025-04-19,11:30:00
THE SHORT FILMS OF DAVID LYNCH,,David Lynch,2025-04-19 14:15:00,2025-04-19,14:15:00
RIVER'S EDGE,1986,Tim Hunter,2025-04-19 16:30:00,2025-04-19,16:30:00
MUSIC IN THE AIR: EXPLORING THE MUSICAL WORLDS OF DAVID LYNCH,,David Lynch,2025-04-19 21:00:00,2025-04-19,21:00:00
TWIN PEAKS: FIRE WALK WITH ME,1992,David Lynch,2025-04-19 23:59:00,2025-04-19,23:59:00
THE STRAIGHT STORY,1999,David Lynch,2025-04-20 11:15:00,2025-04-20,11:15:00
LOST HIGHWAY,1997,David Lynch,2025-04-20 14:30:00,2025-04-20,14:30:00
INLAND EMPIRE,2006,David Lynch,2025-04-20 17:30:00,2025-04-20,17:30:00
LYNCH: ONE,2007,Jason Scheunemann,2025-04-20 21:15:00,2025-04-20,21:15:00
HARAKIRI,1962,Masaki Kobayashi,2025-04-21 19:00:00,2025-04-21,19:00:00
WHEN FALL IS COMING,2024,François Ozon,2025-04-22 16:30:00,2025-04-22,16:30:00
SECRET MALL APARTMENT,2024,Jeremy Workman,2025-04-22 19:00:00,2025-04-22,19:00:00
MADONNA: TRUTH OR DARE,1991,Alek Keshishian,2025-04-22 21:30:00,2025-04-22,21:30:00
THE PEE PEE POO POO MAN,2024,Braden Sitter,2025-04-24 19:00:00,2025-04-24,19:00:00
NIGHT SCHOOL,2025,,2025-04-24 21:30:00,2025-04-24,21:30:00
THE SHROUDS,2024,David Cronenberg,2025-04-25 20:00:00,2025-04-25,20:00:00
THE SHROUDS,2024,David Cronenberg,2025-04-26 14:30:00,2025-04-26,14:30:00
ISHTAR,1987,Elaine May,2025-04-26 16:30:00,2025-04-26,16:30:00
INHERENT VICE,2014,Paul Thomas Anderson,2025-04-26 18:00:00,2025-04-26,18:00:00
BLOW OUT,1981,Brian De Palma,2025-04-26 21:15:00,2025-04-26,21:15:00
ROCKY HORROR PICTURE SHOW,1975,Jim Sharman,2025-04-26 23:59:00,2025-04-26,23:59:00
COOLEY HIGH,1975,Michael Schultz,2025-04-27 11:45:00,2025-04-27,11:45:00
MAGIC FARM,2025,Amalia Ulman,2025-04-27 14:15:00,2025-04-27,14:15:00
MUSIC BOX BINGO,,,2025-04-27 16:00:00,2025-04-27,16:00:00
DUDE BRO PARTY MASSACRE III,2015,"Tomm Jacobsen, Michael Rousselet, Jon Salmon",2025-04-28 21:00:00,2025-04-28,21:00:00
DAISIES,1966,Vera Chytilová,2025-04-30 19:00:00,2025-04-30,19:00:00
TASTE THE REVOLUTION,2001,Daniel Klein,2025-05-13 19:00:00,2025-05-13,19:00:00
DINNER WITH LEATHERFACE,2024,Michael Kallio,2025-05-16 23:45:00,2025-05-16,23:45:00
DINNER WITH LEATHERFACE,2024,Michael Kallio,2025-05-17 23:45:00,2025-05-17,23:45:00
