Title,Year,Director,Showtime,Showtime_Date,Showtime_Time
"SAIC FILM, VIDEO, NEW MEDIA, ANIMATION, AND SOUND FESTIVAL",2025,Various directors,2025-05-10 20:00:00-05:00,2025-05-10,20:00:00
APRIL,2025,Dea Kulumbegashvili,2025-05-10 20:15:00-05:00,2025-05-10,20:15:00
LILLY,2024,Rachel Feldman,2025-05-11 11:30:00-05:00,2025-05-11,11:30:00
MAGIC FARM,2025,Amalia Ulman,2025-05-11 12:00:00-05:00,2025-05-11,12:00:00
APRIL,2025,Dea Kulumbegashvili,2025-05-11 13:30:00-05:00,2025-05-11,13:30:00
MAGIC FARM,2025,Amalia Ulman,2025-05-11 14:15:00-05:00,2025-05-11,14:15:00
LILLY,2024,Rachel Feldman,2025-05-11 16:15:00-05:00,2025-05-11,16:15:00
MAGIC FARM,2025,Amalia Ulman,2025-05-11 16:30:00-05:00,2025-05-11,16:30:00
APRIL,2025,Dea Kulumbegashvili,2025-05-11 18:15:00-05:00,2025-05-11,18:15:00
LILLY,2024,Rachel Feldman,2025-05-11 18:45:00-05:00,2025-05-11,18:45:00
LILLY,2024,Rachel Feldman,2025-05-12 18:15:00-05:00,2025-05-12,18:15:00
APRIL,2025,Dea Kulumbegashvili,2025-05-12 20:15:00-05:00,2025-05-12,20:15:00
MAGIC FARM,2025,Amalia Ulman,2025-05-12 20:30:00-05:00,2025-05-12,20:30:00
APRIL,2025,Dea Kulumbegashvili,2025-05-13 17:45:00-05:00,2025-05-13,17:45:00
LILLY,2024,Rachel Feldman,2025-05-13 18:15:00-05:00,2025-05-13,18:15:00
APRIL,2025,Dea Kulumbegashvili,2025-05-13 20:15:00-05:00,2025-05-13,20:15:00
MAGIC FARM,2025,Amalia Ulman,2025-05-13 20:30:00-05:00,2025-05-13,20:30:00
APRIL,2025,Dea Kulumbegashvili,2025-05-14 17:45:00-05:00,2025-05-14,17:45:00
LILLY,2024,Rachel Feldman,2025-05-14 18:15:00-05:00,2025-05-14,18:15:00
APRIL,2025,Dea Kulumbegashvili,2025-05-14 20:15:00-05:00,2025-05-14,20:15:00
MAGIC FARM,2025,Amalia Ulman,2025-05-14 20:30:00-05:00,2025-05-14,20:30:00
APRIL,2025,Dea Kulumbegashvili,2025-05-15 17:45:00-05:00,2025-05-15,17:45:00
