Title Searched,Year Searched,Director Searched,Link Retrieved,Title Result,Year Result,Director Result,Metascore,Runtime,Summary,Writers
Do Not Expect Too Much from the End of the World,2023,Radu Jude,/movie/do-not-expect-too-much-from-the-end-of-the-world/,Do Not Expect Too Much From the End of the World,2024,Radu Jude,0.95,163,An overworked and underpaid production assistant must drive around the city of Bucharest to film the casting for a workplace safety video commissioned by a multinational company. When one of her interviewees makes a statement that ignites a scandal she is forced to re-invent the whole story. [MUBI],Radu Jude
"Paris, Texas",1984,Wim Wenders,/movie/paris-texas/,"Paris, Texas",1984,Wim Wenders,0.81,145,"Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family.","L.M. Kit Carson, Sam Shepard, Walter Donohue"
His Three Daughters,2023,Azazel Jacobs,/movie/his-three-daughters/,His Three Daughters,2024,Azazel Jacobs,0.84,101,"Three estranged sisters (Carrie Coon, Elizabeth Olsen, and Natasha Lyonne) converge in a New York apartment to care for their ailing father and try to mend their own broken relationship with one another.",Azazel Jacobs
Only the River Flows,2023,Wei Shujun,/movie/only-the-river-flows/,Only the River Flows,2024,Wei Shujun,0.7,101,"1990s small town China. A woman’s body washes up in the local river. The chief of police, Ma Zhe, is tasked with heading up the investigation. An obvious perp leads to a hasty arrest, though the mystery lingers in Ma Zhe’s mind. What kind of darkness is truly at play here?","Chunlei Kang, Wei Shujun, Hua Yu"
Good One,2024,India Donaldson,/movie/good-one/,Good One,2024,India Donaldson,0.87,90,"On a weekend backpacking trip in the Catskills, 17-year-old Sam contends with the competing egos of her father and his oldest friend.",India Donaldson
Sing Sing,2023,Greg Kwedar,/movie/sing-sing/,Sing Sing,2024,Greg Kwedar,0.83,105,"Divine G (Colman Domingo), imprisoned at Sing Sing for a crime he didn’t commit, finds purpose by acting in a theatre group alongside other incarcerated men, including a wary newcomer (Clarence Maclin), in this stirring true story of resilience, humanity, and the transformative power of art, starring an unforgettable ensemble cast of for...","John H. Richardson, Brent Buell, Clint Bentley, Greg Kwedar"
Challengers,2024,Luca Guadagnino,/movie/challengers/,Challengers,2024,Luca Guadagnino,0.82,131,"Tennis prodigy turned coach Tashi (Zendaya) has taken her husband, Art (Mike Faist), and transformed him into a world-famous grand slam champion. To jolt him out of his recent losing streak, she makes him play a “Challenger” event — close to the lowest level of pro tournament — where he finds himself standing across the net from his form...",Justin Kuritzkes
On the Count of Three,2021,Jerrod Carmichael,/movie/on-the-count-of-three/,On the Count of Three,2022,Jerrod Carmichael,0.74,85,"Val (Jerrod Carmichael) has reached a place where he feels the only way out is to end things. But he considers himself a bit of a failure—his effectiveness lacking—so he figures he could use some help. As luck would have it, Val’s best friend, Kevin (Christopher Abbott), is recovering from a failed suicide attempt, so he seems like the p...","Ari Katcher, Ryan Welch"
The Piano,1993,Jane Campion,/movie/the-piano/,The Piano,1993,Jane Campion,0.89,121,"A seemingly mute woman (Hunter) is sent to New Zealand together with her daughter and her beloved piano, for an arranged marriage.",Jane Campion
Petite Maman,2021,Céline Sciamma,/movie/petite-maman/,Petite Maman,2021,Céline Sciamma,0.93,72,Nelly has just lost her grandmother and is helping her parents clean out her mother's childhood home. She explores the house and the surrounding woods. One day she meets a girl her same age building a treehouse.,Céline Sciamma
