Title,Year,Link,Metascore,Summary,Directors,Writers,Release Date,Runtime
THE FOUNTAIN,2006,/movie/the-fountain/,0.51,The Fountain is an odyssey about one man's eternal struggle to save the woman he loves.  (Warner Bros.),Darren Aronofsky,"Darren Aronofsky, Ari Handel",2006-11-22,96
HUNGER,2008,/movie/hunger/,0.82,"Hunger follows life in the Maze Prison, Northern Ireland, with an interpretation of the highly emotive events surrounding the 1981 IRA Hunger Strike led by Bobby Sands. With an epic eye for detail, the film provides a timely exploration of what happens when body and mind are pushed to the uttermost limit. (IFC Films)",Steve McQueen,"Enda Walsh, Steve McQueen",2008-12-05,96
POLICE STORY,1985,/movie/police-story-1985/,0.78,A virtuous Hong Kong Police Officer must clear his good name when the drug lords he is after frame him for the murder of a dirty cop.,Jackie Chan,"Jackie Chan, Edward Tang",2018-03-09,101
THE MONKEY,2025,/movie/the-monkey/,0.61,"When twin brothers find a mysterious wind-up monkey, a series of outrageous deaths tear their family apart. Twenty-five years later, the monkey begins a new killing spree forcing the estranged brothers to confront the cursed toy. Based on the Stephen King short story.",Oz Perkins,"Oz Perkins, Stephen King",2025-02-21,98
OPUS,2025,/movie/opus/,0.43,"A young writer (Ayo Edebiri) is invited to the remote compound of a legendary pop star (John Malkovich) who mysteriously disappeared thirty years ago. Surrounded by the star's cult of sycophants and intoxicated journalists, she finds herself in the middle of his twisted plan.",Mark Anthony Green,Mark Anthony Green,2025-03-14,103
ONCE UPON A TIME IN THE WEST,1968,/movie/once-upon-a-time-in-the-west/,0.82,"Sergio Leone's monumental epic is as big as its Monument Valley locations, as grand as its fine, distinguished cast, as tough and bawdy as every kid imagines the Old West.  (Paramount)",Sergio Leone,"Sergio Donati, Sergio Leone, Dario Argento, Bernardo Bertolucci, Mickey Knox",2005-09-30,175
MICKEY 17,2025,/movie/mickey-17/,0.75,"The unlikely hero, Mickey Barnes (Robert Pattinson) has found himself in the extraordinary circumstance of working for an employer who demands the ultimate commitment to the job… to die, for a living.",Bong Joon Ho,"Bong Joon Ho, Edward Ashton",2025-03-07,139
THE DEAD THING,2025,/movie/the-dead-thing/,0.53,"Alex is trapped in a downward spiral of shallow hookups and tepid connections, but she is caught off guard when her dating app swipes lead her into the arms of a mysterious, charming young man Kyle. Despite their passionate night, when the sun rises, the mystery man is nowhere to be found. Alex then sets out to find the one person who ma...",Elric Kane,"Elric Kane, Webb Wilcoxen",2025-02-14,94
BULL DURHAM,1988,/movie/bull-durham/,0.73,"A romantic love story set in the dirt and grit of minor league baseball. Sarandan is a groupie for the Carolina Durham Bulls who chooses a protege each season to school in the art of love. This season she picks the team's untameable pitcher but eventually abides her true passion, the team's catcher, Costner. (MGM)",Ron Shelton,Ron Shelton,1988-06-15,108
STOP MAKING SENSE,1984,/movie/stop-making-sense/,0.94,A concert film of the rock band Talking Heads.,Jonathan Demme,"Jonathan Demme, Talking Heads",1984-10-18,88
A LEAGUE OF THEIR OWN,1992,/movie/a-league-of-their-own/,0.69,Two sisters join the first female professional baseball league and struggle to help it succeed amidst their own growing rivalry.,Penny Marshall,"Kim Wilson, Kelly Candaele, Lowell Ganz, Babaloo Mandel",1992-07-01,128
ROCKY HORROR PICTURE SHOW,1975,/movie/the-rocky-horror-picture-show/,0.65,A newly engaged couple have a breakdown in an isolated area and must pay a call to the bizarre residence of Dr. Frank-N-Furter.,Jim Sharman,"Richard O'Brien, Jim Sharman",1975-09-26,100
THE FAST AND THE FURIOUS: TOKYO DRIFT,2006,/movie/the-fast-and-the-furious-tokyo-drift/,0.45,"Set in the sexy and colorful underground world of Japanese drift racing, the newest and fastest customized rides go head-to head on some of the most perilous courses in the world. [Universal]",Justin Lin,Chris Morgan,2006-06-16,104
MONEYBALL,2011,/movie/moneyball/,0.87,"Based on Michael Lewis' nonfiction bestseller ""Moneyball: The Art of Winning an Unfair Game,"" the book's subject is Oakland A's general manager Billy Beane, who assembled a contending baseball club on a shoestring budget by employing a sophisticated computer-based analysis to draft players. (Sony Pictures)",Bennett Miller,"Steven Zaillian, Aaron Sorkin, Stan Chervin, Michael Lewis",2011-09-23,133
SCOTT PILGRIM VS. THE WORLD,2010,/movie/scott-pilgrim-vs-the-world/,0.69,Scott Pilgrim must defeat his new girlfriend's seven evil exes in order to win her heart.,Edgar Wright,"Michael Bacall, Edgar Wright, Bryan Lee O'Malley",2010-08-13,112
EEPHUS,2024,/movie/eephus/,0.8,"Grown men's recreational baseball game stretches to extra innings on their beloved field's final day before demolition. Humor and nostalgia intertwine as daylight fades, signaling an era's end.",Carson Lund,"Michael Basta, Nate Fisher, Carson Lund",2025-03-07,98
STARSHIP TROOPERS,1997,/movie/starship-troopers/,0.52,"From the bridge of the Fleet Battlestation Ticonderoga, with its sweeping galactic views, to the desolate terrain of planet Klendathu, teeming with shrieking, fire-spitting, brain-sucking special effects creatures, acclaimed director Paul Verhoven crafts a dazzling epic based on Robert A. Heinlein's classic sci-fi adventure.  Courageous ...",Paul Verhoeven,"Edward Neumeier, Robert A. Heinlein",1997-11-07,129
EIGHT MEN OUT,1988,/movie/eight-men-out/,0.71,A dramatization of the Black Sox scandal when the underpaid Chicago White Sox accepted bribes to deliberately lose the 1919 World Series.,John Sayles,"Eliot Asinof, John Sayles",1988-09-02,119
RETURN OF THE LIVING DEAD II,1988,/movie/return-of-the-living-dead-ii/,0.45,"Curious kids unearth the barrels that helped revive the dead of the first film, which proves the second time's an undead charm.",Ken Wiederhorn,Ken Wiederhorn,1988-01-15,89
FEMALE TROUBLE,1974,/movie/female-trouble/,,A re-release of John Water's 1975 film starring Divine.,John Waters,John Waters,2002-03-15,89
THE ROOM,2003,/movie/the-room/,0.09,"Johnny is a successful banker with great respect for and dedication to the people in his life, especially his future wife Lisa. Johnny can also be a little too trusting at times which haunts him later on. Lisa is a beautiful blonde fiancé of Johnny. She has always gotten her way and will manipulate to get what she wants. She is a taker, ...",Tommy Wiseau,Tommy Wiseau,2003-07-18,99
THE IRON GIANT,1999,/movie/the-iron-giant/,0.85,"A giant metal machine falls to Earth in 1950s Maine, frightening townspeople.  However, the robot befriends a nine-year-old boy named Hogarth who must save it from the predjudices of the townspeople and from a government agent intent on destroying the robot.",Brad Bird,"Tim McCanlies, Brad Bird, Ted Hughes, Brent Forrester",1999-08-06,86
ART SPIEGELMAN: DISASTER IS MY MUSE,2024,/movie/art-spiegelman-disaster-is-my-muse/,,"Art Spiegelman: Disaster is My Muse! explores the life and career of cartoonist Art Spiegelman and the creation and ground-breaking impact of his Pulitzer Prize-winning graphic novel Maus, the story of his parents’ survival of the Holocaust and his own struggle to come to terms with this legacy.","Molly Bernstein, Philip Dolin",,2025-02-21,98
JOINT SECURITY AREA,2000,/movie/jsa-joint-security-area/,0.58,"Joint Security Area is the ""Apocalypse Now"" of the Korean War -- a shimmering, hyper-real epic that charts the spiritual fallout of international politics.  (Subway Cinema)",Park Chan-wook,"Park Chan-wook, Hyun-seok Kim, Seong-san Jeong, Mu-yeong Lee, Myeong-chan Park, Sang-yeon Park",2005-06-15,110
GREASE,1978,/movie/grease/,0.7,"Danny's the bad boy leader of the T-Bird's.  Sandy's the innocent Australian transfer.  With the debilitating shadow of 50's high school politics dooming their budding relationship, will Danny and Sandy be able to change before it is too late to end up together?",Randal Kleiser,"Jim Jacobs, Warren Casey, Bronte Woodard, Allan Carr",1978-06-16,110
OUT OF SIGHT,1998,/movie/out-of-sight/,0.84,"Based on the novel by Elmore Leonard, Out of Sight tells the story of the unlikely relationship that forms between a sexy US Marshal (Lopez) and a charming career criminal (Clooney).",Steven Soderbergh,"Elmore Leonard, Scott Frank",1998-06-26,123
HARAKIRI,1962,/movie/harakiri/,0.85,An elder ronin samurai arrives at a feudal lord's home and requests an honorable place to commit suicide. But when the ronin inquires about a younger samurai who arrived before him things take an unexpected turn.,Masaki Kobayashi,"Yasuhiko Takiguchi, Shinobu Hashimoto",1964-08-04,133
DAISIES,1966,/movie/daisies-1966/,,"Vera Chytilová’s absurdist farce follows the misadventures of two brash young women. Believing the world to be “spoiled,” they embark on a series of pranks in which nothing—food, clothes, men, war—is taken seriously. (Janus Films)",Vera Chytilová,"Vera Chytilová, Pavel Jurácek, Ester Krumbachová, Jaroslav Kucera, Zdenek Bláha, Václav Nývlt, Bohumil Smída, Ladislav Fikar",2012-07-06,74
