Title,Year,Link,Metascore,Summary,Directors,Writers,Release Date,Runtime
Master Gardener,2022,/movie/master-gardener/,0.63,"Narvel Roth (Joel Edgerton) is the meticulous horticulturist of Gracewood Gardens. He is as much devoted to tending the grounds of this beautiful and historic estate, to pandering to his employer, the wealthy dowager Mrs. Haverhill (Sigourney Weaver). When Mrs. Haverhill demands that he take on her wayward and troubled great-niece Maya (...",Paul Schrader,Paul Schrader,2023-05-19,110
The Artifice Girl,2022,/movie/the-artifice-girl/,0.6,"A team of special agents discovers a revolutionary new computer program to bait and trap online predators. After teaming up with the program’s troubled developer, they soon find that the AI is rapidly advancing beyond its original purpose.",Franklin Ritch,Franklin Ritch,2023-04-27,93
Aftersun,2022,/movie/aftersun/,0.95,Sophie reflects on the shared joy and private melancholy of a holiday she took with her father twenty years earlier. Memories real and imagined fill the gaps between miniDV footage as she tries to reconcile the father she knew with the man she didn’t.,Charlotte Wells,Charlotte Wells,2022-10-21,98
Rodeo,2022,/movie/rodeo/,0.7,"Hot-tempered and fiercely independent, Julia (Julie Ledru) is a gearhead who thrives in hostile environments and turns every situation to her advantage. She has a talent for scamming condescending men who think it’s cute that she shows interest in their used motorbikes–and can’t fathom her riding away with gleeful abandon. Her obsession ...",Lola Quivoron,"Lola Quivoron, Antonia Buresi",2023-03-17,105
Earth Mama,2023,/movie/earth-mama/,0.84,"A pregnant single mother, with two children in foster care, embraces her Bay Area community as she fights to reclaim her family.",Savanah Leaf,Savanah Leaf,2023-07-07,97
Showing Up,2022,/movie/showing-up/,0.86,"A sculptor preparing to open a new show must balance her creative life with the daily dramas of family and friends, in Kelly Reichardt's vibrant and captivatingly funny portrait of art and craft.",Kelly Reichardt,"Jonathan Raymond, Kelly Reichardt",2023-04-07,108
Oppenheimer,2023,/movie/oppenheimer/,0.9,The story of American scientist J. Robert Oppenheimer and his role in the development of the atomic bomb.,Christopher Nolan,"Christopher Nolan, Kai Bird, Martin Sherwin",2023-07-21,180
The Lighthouse,2019,/movie/the-lighthouse-2019/,0.83,A hypnotic and hallucinatory tale of two lighthouse keepers on a remote and mysterious New England island in the 1890s.,Robert Eggers,"Robert Eggers, Max Eggers",2019-10-18,109
TÃ¡r,2022,/movie/tar-2022/,0.93,"Set in the international world of classical music, TÁR examines the changing nature of power and its impact and durability in our modern world through the life of iconic musician Lydia Tár (Cate Blanchett), the first-ever female chief conductor of a major German orchestra.",Todd Field,Todd Field,2022-10-07,158
The Banshees of Inisherin,2022,/movie/the-banshees-of-inisherin/,0.87,"On a remote island off the west coast of Ireland, lifelong friends Padraic (Colin Farrell) and Colm (Brendan Gleeson) find themselves at an impasse when Colm unexpectedly puts an end to their friendship. A stunned Padraic, aided by his sister Siobhan (Kerry Condon) and troubled young islander Dominic (Barry Keoghan), endeavours to repair...",Martin McDonagh,Martin McDonagh,2022-10-21,109
Thoroughbreds,2017,/movie/thoroughbreds/,0.75,"Childhood friends Lily and Amanda reconnect in suburban Connecticut after years of growing apart. Lily has turned into a polished, upper-class teenager, with a fancy boarding school on her transcript and a coveted internship on her resume; Amanda has developed a sharp wit and her own particular attitude, but all in the process of becomin...",Cory Finley,Cory Finley,2018-03-09,92
Azor,2021,/movie/azor/,0.88,"Yvan De Wiel, a private banker from Geneva, goes to Argentina in the midst of a dictatorship to replace his partner, the object of the most worrying rumours, who disappeared overnight.",Andreas Fontana,"Andreas Fontana, Mariano Llinás",2021-09-10,100
Short Term 12,2013,/movie/short-term-12/,0.82,"Grace (Brie Larson), a young supervising staff member of a foster care facility, looks after troubled teens and reckons with her own past alongside her co-worker and longtime boyfriend, Mason (John Gallagher Jr.).",Destin Daniel Cretton,Destin Daniel Cretton,2013-08-23,96
Moonlight,2016,/movie/moonlight-2016/,0.99,"Moonlight is the tender, heartbreaking story of a young man’s struggle to find himself, told across three defining chapters in his life as he experiences the ecstasy, pain, and beauty of falling in love, while grappling with his own sexuality.",Barry Jenkins,"Barry Jenkins, Tarell Alvin McCraney",2016-10-21,111
Parasite,2019,/movie/parasite/,0.97,"Meet the Park Family: the picture of aspirational wealth. And the Kim Family, rich in street smarts but not much else. Be it chance or fate, these two houses are brought together and the Kims sense a golden opportunity. Masterminded by college-aged Ki-woo, the Kim children expediently install themselves as tutor and art therapist, to the...",Bong Joon Ho,"Bong Joon Ho, Han Jin-won",2019-10-11,132
Sound of Metal,2019,/movie/sound-of-metal/,0.82,"During a series of adrenaline-fueled one-night gigs, itinerant punk-metal drummer Ruben (Riz Ahmed) begins to experience intermittent hearing loss. When a specialist tells him his condition will rapidly worsen, he thinks his music career — and with it his life — is over. His bandmate and girlfriend Lou (Olivia Cooke) checks the recoverin...",Darius Marder,"Darius Marder, Abraham Marder, Derek Cianfrance",2020-11-20,120
Nomadland,2020,/movie/nomadland/,0.87,"Following the economic collapse of a company town in rural Nevada, Fern (Frances McDormand) packs her van and sets off on the road exploring a life outside of conventional society as a modern-day nomad.",Chloé Zhao,"Chloé Zhao, Jessica Bruder",2020-12-04,107
The Card Counter,2021,/movie/the-card-counter/,0.78,"William Tell (Oscar Isaac) is a gambler and former serviceman who sets out to reform a young man seeking revenge on a mutual enemy from their past. Tell just wants to play cards. His spartan existence on the casino trail is shattered when he is approached by Cirk (Tye Sheridan), a vulnerable and angry young man seeking help to execute hi...",Paul Schrader,Paul Schrader,2021-09-10,109
