Title,Year,Link,Metascore,Summary,Directors,Writers,Release Date,Runtime
The NeverEnding Story,1984,/movie/the-neverending-story/,0.49,A dreamy young boy discovers an extraordinary storybook-and the fantastical world within its pages. (Warner Bros.),Wolfgang Petersen,"Wolfgang Petersen, Herman Weigel, Michael Ende, Robert Easton",1984-07-20,102
Scooby-Doo,2002,/movie/scooby-doo/,0.35,Scooby Doo and the Mystery Inc. gang take their animated antics to the big screen as a live-action movie.,Raja Gosnell,"James Gunn, Craig Titley, William Hanna, Joseph Barbera",2002-06-14,86
A Knight's Tale,2001,/movie/a-knights-tale/,0.56,"After serving a number of years as a squire, an earnest young commoner (Heath Ledger) poses as a knight and establishes himself in the jousting tournaments of Europe. He and a princess fall in love, but she is unaware of his deceit and common roots. The false knight is estranged from the princess once his true roots are revealed. He stru...",Brian Helgeland,Brian Helgeland,2001-05-11,132
Back to the Future,1985,/movie/back-to-the-future/,0.87,"Marty McFly goes back in time, in a DeLorean invented by his friend, Dr. Emmett Brown, and must make sure his high-school-age parents get together, so he doesn't cease to exist.",Robert Zemeckis,"Robert Zemeckis, Bob Gale",1985-07-03,116
Interview with the Vampire,1994,/movie/interview-with-the-vampire-the-vampire-chronicles/,0.62,"The undead are among us and livelier than ever when Tom Cruise, Brad Pitt and a talented group of young-bloods star in Interview with the Vampire, the spellbinding screen adaptation of Anne Rice's best seller.  [Warner Bros.]",Neil Jordan,Anne Rice,1994-11-11,123
Horrible Bosses,2011,/movie/horrible-bosses/,0.57,"For Nick, Kurt and Dale, the only thing that would make the daily grind more tolerable would be to grind their intolerable bosses into dust.  Quitting is not an option, so, with the benefit of a few-too-many drinks and some dubious advice from a hustling ex-con, the three friends devise a convoluted and seemingly foolproof plan to rid th...",Seth Gordon,"Michael Markowitz, John Francis Daley, Jonathan Goldstein",2011-07-08,98
Grosse Pointe Blank,1997,/movie/grosse-pointe-blank/,0.76,"In this black comedy, a philosophical hit man (Cusack) reluctantly accepts an assignment in Detroit which coincides with his 10-year high school reunion in the upscale suburb of Grosse Point, Michigan.",George Armitage,"Tom Jankiewicz, D.V. DeVincentis, Steve Pink, John Cusack",1997-04-11,107
Mortal Kombat,1995,/movie/mortal-kombat/,0.6,"Summoned to a mysterious island, three martial arts warriors engage in the ultimate battle of good vs. evil.  (New Line Cinema)",Paul W.S. Anderson,"Ed Boon, John Tobias, Kevin Droney",1995-08-18,101
Gone in 60 Seconds,2000,/movie/gone-in-sixty-seconds/,0.35,"A man (Cage) and his crew must pull off one final ""job"" (stealing 100 cars) in order to save the life of his younger brother, who owes a debt to a criminal.",Dominic Sena,"H.B. Halicki, Scott Rosenberg",2000-06-09,118
Highlander,1986,/movie/highlander/,0.24,"Connor Macleod, an immortal Scottish swordsman, must confront the last of his immortal opponents, a murderously brutal barbarian who lusts for the fabled ""Prize"".",Russell Mulcahy,"Gregory Widen, Peter Bellwood, Larry Ferguson",1986-03-07,116
Braveheart,1995,/movie/braveheart/,0.68,"Scottish national hero Sir William Wallace (Gibson), leads a 13th-century rebellion against landowning English nobles.",Mel Gibson,Randall Wallace,1995-05-24,177
Perfume: The Story of a Murderer,2006,/movie/perfume-the-story-of-a-murderer/,0.56,"Based on Patrick Suskind's best-selling novel, Perfume: The Story of a Murderer is set in Paris and revolves around an eccentric 18th century murderer with an extraordinary sense of smell.",Tom Tykwer,"Andrew Birkin, Bernd Eichinger, Tom Tykwer, Patrick Süskind",2006-12-29,147
The Importance of Being Earnest,2002,/movie/the-importance-of-being-earnest/,0.6,A film adaptation of Oscar Wilde's hilarious play about two young gents living in 1890's England who have taken to bending the truth in order to put some excitement into their lives.  (Miramax),Oliver Parker,"Oscar Wilde, Oliver Parker",2002-05-22,97
Life as a House,2001,/movie/life-as-a-house/,0.45,"The poignant, often humorous journey of one man who decides to tear down his house -- and winds up rebuilding the world around him.  (New Line Cinema)",Irwin Winkler,Mark Andrus,2001-10-26,125
Star Trek,2009,/movie/star-trek/,0.82,"The greatest adventure of all time begins with Star Trek, the incredible story of a young crew's maiden voyage onboard the most advanced starship ever created: the U.S.S. Enterprise. On a journey filled with action, comedy and cosmic peril, the new recruits must find a way to stop an evil being whose mission of vengeance threatens all of...",J.J. Abrams,"Roberto Orci, Alex Kurtzman, Gene Roddenberry",2009-05-07,127
Dragonheart,1996,/movie/dragonheart/,0.49,"The last dragon and a disillusioned dragonslaying Knight must cooperate to stop an evil King, who was given partial immortality.",Rob Cohen,"Patrick Read Johnson, Charles Edward Pogue",1996-05-31,103
Star Trek Into Darkness,2013,/movie/star-trek-into-darkness/,0.72,"After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one man weapon of mass destruction.",J.J. Abrams,"Roberto Orci, Alex Kurtzman, Damon Lindelof, Gene Roddenberry",2013-05-15,132
Star Trek Beyond,2016,/movie/star-trek-beyond/,0.68,"The crew of the U.S.S. Enterprise explores the furthest reaches of uncharted space, where they encounter a mysterious new enemy who puts them and everything the Federation stands for to the test.",Justin Lin,"Simon Pegg, Doug Jung, Gene Roddenberry",2016-07-22,122
Stardust,2007,/movie/stardust/,0.66,"The enchanting tale of a fallen star who crashes into a magical kingdom and turns out to be no ordinary meteorite at all, but a beautiful, imperiled woman chased after by an incredible array of seekers who want or need her secret powers. From wicked witches to power-mad princes, from flying pirates to dueling goblins, each person who enc...",Matthew Vaughn,"Jane Goldman, Matthew Vaughn, Neil Gaiman, Charles Vess",2007-08-10,127
Labyrinth,1986,/movie/labyrinth/,0.5,"Babysitting infant stepbrother Toby on a weekend night isn’t young Sarah’s idea of fun. Frustrated by his crying, she secretly imagines the Goblins from her favorite book, Labyrinth, carrying Toby away. When her fantasy comes true, a distraught Sarah must enter a maze of illusion to bring Toby back from a kingdom inhabited by mystical cr...",Jim Henson,"Dennis Lee, Jim Henson, Terry Jones",1986-06-27,101
Johnny Mnemonic,1995,/movie/johnny-mnemonic/,0.36,"A data courier, literally carrying a data package inside his head, must deliver it before he dies from the burden or is killed by the Yakuza.",Robert Longo,William Gibson,1995-05-26,103
Bedazzled,2000,/movie/bedazzled/,0.49,"Elliot Richardson (Fraser), a suicidal technical geek, sells his soul to Satan  (Hurley) for seven wishes to turn his life around.  The only catch -- she gets his soul.",Harold Ramis,"Peter Cook, Dudley Moore, Larry Gelbart, Harold Ramis, Peter Tolan",2000-10-20,93
Black Swan,2010,/movie/black-swan/,0.79,"Black Swan is a psychological thriller set in the world of New York City ballet. Featured dancer, Nina, finds herself locked in a web of competitive intrigue with a new rival at the company. (Fox Searchlight)",Darren Aronofsky,"Mark Heyman, Andres Heinz, John J. McLaughlin",2010-12-03,108
Pokemon: The First Movie,1998,/movie/pokemon-the-movie-2000/,0.28,"Good forces try to stop Lugia, whose power could destroy the world.",Kunihiko Yuyama,"Satoshi Tajiri, Takeshi Shudô",2000-07-21,80
Demolition Man,1993,/movie/demolition-man/,0.34,"LAPD Sgt. John Spartan (Stallone) and  psychopathic Simon Phoenix (Snipes) are frozen for 70 years after being blamed for the death of hostages. In 2032, Simon escapes and John is unfrozen to help catch him.",Marco Brambilla,"Peter M. Lenkov, Robert Reneau, Daniel Waters",1993-10-08,115
Legend,1985,/movie/legend-1986/,0.3,A young man must stop the Lord of Darkness from both destroying daylight and marrying the woman he loves.,Ridley Scott,William Hjortsberg,1986-04-18,89
Sex Drive,2008,/movie/sex-drive/,0.49,"Eighteen-year-old Ian Lafferty sets out on a cross country drive with his best friends Lance and Felicia in order to lose his virginity to a red-hot babe he met on the Internet. But the journey, filled with hilarious misadventures and raunchy escapades, teaches all three more than they expected about life and love. Randy, raucous and une...",Sean Anders,"Sean Anders, John Morris, Andy Behrens",2008-10-17,109
The Lost Boys,1987,/movie/the-lost-boys/,0.63,Strange events threaten an entire family when two brothers move with their divorced mother to a California town where the local teenage gang turns out to be a pack of vampires. (Warner Bros.),Joel Schumacher,"Jan Fischer, James Jeremias, Jeffrey Boam",1987-07-31,97
Short Circuit,1986,/movie/short-circuit/,0.5,"Number 5 of a group of experimental robots in a lab is electrocuted, suddenly becomes intelligent, and escapes.",John Badham,"S.S. Wilson, Brent Maddock, Jay Tarses",1986-05-09,98
Elf,2003,/movie/elf/,0.66,A boy who was raised by Santa's elves returns to New York City to find his biological family.,Jon Favreau,David Berenbaum,2003-11-07,97
Sister Act,1992,/movie/sister-act/,0.51,"When a worldly singer witnesses a mob crime, the police hide her as a nun in a traditional convent where she has trouble fitting in.",Emile Ardolino,Paul Rudnick,1992-05-29,100
Tommy Boy,1995,/movie/tommy-boy/,0.46,"An incompetent, immature, and dimwitted heir to an auto parts factory (Chris Farley) must save the business to keep it out of the hands of his new, con-artist relatives and big business.",Peter Segal,"Bonnie Turner, Terry Turner",1995-03-31,97
Idle Hands,1999,/movie/idle-hands/,0.31,"Anton Tobias (Sawa) wakes up Halloween morning to discover-after watching some TV and perusing the contents of the fridge, oblivious to the pool of blood on the floor-that his parents have been turned into a couple of headless Halloween decorations. After hanging out with his equally irresponsible friends, Mick (Green) and Pnub (Henson),...",Rodman Flender,"Terri Hughes Burton, Ron Milbauer",1999-04-30,90
Reign of Fire,2002,/movie/reign-of-fire/,0.39,An exciting tale of adventure and survival that fuses a medieval past with a post-apocalyptic future.  (Buena Vista Pictures Entertainment),Rob Bowman,"Gregg Chabot, Kevin Peterka, Matt Greenberg",2002-07-12,101
Rampant,2018,/movie/rampant/,,"A darkness looms over ancient Korea: murderous creatures known as Night Demons have overrun the country. Returning from a long imprisonment abroad, Prince Ganglim discovers that it will take the strength of his entire kingdom to stop the bloody rampage spreading across the nation. [Well Go USA]",Kim Sung-hoon,"Jo-yun Hwang, Shin-yeon Won, Hwang Jo Yoon",2018-11-02,129
Sorry To Bother You,2018,/movie/sorry-to-bother-you/,0.78,"In an alternate present-day version of Oakland, telemarketer Cassius Green discovers a magical key to professional success, propelling him into a macabre universe.",Boots Riley,Boots Riley,2018-07-06,111
"Three Billboards Outside Ebbing, Missouri",2017,/movie/three-billboards-outside-ebbing-missouri/,0.88,"After months have passed without a culprit in her daughter’s murder case, Mildred Hayes (Frances McDormand) makes a bold move, painting three signs leading into her town with a controversial message directed at William Willoughby (Woody Harrelson), the town's revered chief of police. When his second-in-command Officer Dixon (Sam Rockwell...",Martin McDonagh,Martin McDonagh,2017-11-10,115
Lamb,2021,/movie/lamb-2021/,0.68,A childless couple in rural Iceland make an alarming discovery one day in their sheep barn. They soon face the consequences of defying the will of nature.,Valdimar Jóhannsson,"Sjón, Valdimar Jóhannsson",2021-10-08,106
