title,year,link,Josh Larsen,Nick Davis,jamie loftus,Monika Kothari,crhoesing,Adam Kempenaar,Mitra Jouhari,Maia,risesinthewest,ratbathman,Caitlin Durante
Aftersun,2022,https://letterboxd.com/film/aftersun/,4.5,4.5,,,,4.5,,5.0,,,
Sisu,2022,https://letterboxd.com/film/sisu-2022/,,,,,,3.0,,,,,
Rodeo,2022,https://letterboxd.com/film/rodeo-2022/,4.0,,,,,,,,,,
Earth Mama,2023,https://letterboxd.com/film/earth-mama/,4.0,4.0,,,,,,,,,
Dungeons & Dragons: Honor Among Thieves,2023,https://letterboxd.com/film/dungeons-dragons-honor-among-thieves/,3.5,,,3.5,,3.5,,,3.0,,
Showing Up,2022,https://letterboxd.com/film/showing-up-2022/,3.5,3.0,,,,4.5,,,,,
Portrait of a Lady on Fire,2019,https://letterboxd.com/film/portrait-of-a-lady-on-fire/,4.5,4.5,,,,4.5,,,3.5,,
Before Sunrise,1995,https://letterboxd.com/film/before-sunrise/,4.5,,,,,5.0,5.0,,4.5,,5.0
Bottoms,2023,https://letterboxd.com/film/bottoms/,3.5,3.0,,,3.0,2.5,5.0,,,,
The Power of One: The Pokémon 2000 Movie Special,2000,https://letterboxd.com/film/the-power-of-one-the-pokemon-2000-movie-special/,,,,,,,,,,,
Oppenheimer,2023,https://letterboxd.com/film/oppenheimer-2023/,3.5,4.5,,,4.0,4.5,5.0,,5.0,,
The Last Unicorn,1982,https://letterboxd.com/film/the-last-unicorn/,,,,,,,,,,,
Talk to Me,2022,https://letterboxd.com/film/talk-to-me-2022/,3.5,2.0,,,,,,,3.0,,
Joy Ride,2023,https://letterboxd.com/film/joy-ride-2023/,,,3.5,,,,,,,,
Spider-Man: Into the Spider-Verse,2018,https://letterboxd.com/film/spider-man-into-the-spider-verse/,4.0,3.5,,,,3.0,,,4.0,,5.0
Princess Mononoke,1997,https://letterboxd.com/film/princess-mononoke/,5.0,,,,5.0,4.0,5.0,,,,
Adaptation.,2002,https://letterboxd.com/film/adaptation/,,,,,,4.0,,,,,
Sorry to Bother You,2018,https://letterboxd.com/film/sorry-to-bother-you/,4.0,3.5,,,,3.5,,,,,
Past Lives,2023,https://letterboxd.com/film/past-lives/,4.0,3.0,3.5,4.5,,4.0,,3.5,5.0,,
All the Beauty and the Bloodshed,2022,https://letterboxd.com/film/all-the-beauty-and-the-bloodshed/,,3.0,,,,4.0,,,,,
You Hurt My Feelings,2023,https://letterboxd.com/film/you-hurt-my-feelings-2023/,4.0,3.0,,,,4.0,,,,,
Twilight,2008,https://letterboxd.com/film/twilight-2008/,,2.0,,,,,,,,,
The Lighthouse,2019,https://letterboxd.com/film/the-lighthouse-2019/,4.0,,,,3.5,2.5,,,4.0,,4.0
Crazy Rich Asians,2018,https://letterboxd.com/film/crazy-rich-asians/,3.0,,,,,3.5,,,,,
Bean,1997,https://letterboxd.com/film/bean/,,,,,,,,,,,
Tank Girl,1995,https://letterboxd.com/film/tank-girl/,,,3.0,,,,,,,,
Pride & Prejudice,2005,https://letterboxd.com/film/pride-prejudice/,,,,,,,,,,,
Inspector Ike,2020,https://letterboxd.com/film/inspector-ike/,,,,,,,,,,,
M3GAN,2022,https://letterboxd.com/film/m3gan/,,,,,,,,,,,
Rampant,2018,https://letterboxd.com/film/rampant/,,,,,,,,,,,
Decision to Leave,2022,https://letterboxd.com/film/decision-to-leave/,4.0,3.5,,,,4.5,,,,,
You Were Never Really Here,2017,https://letterboxd.com/film/you-were-never-really-here/,3.0,,,,,3.5,,,,,
TÁR,2022,https://letterboxd.com/film/tar-2022/,4.0,4.5,,,,4.5,,5.0,,,
Reign of Fire,2002,https://letterboxd.com/film/reign-of-fire/,,,,,,,,,,,
Idle Hands,1999,https://letterboxd.com/film/idle-hands/,,,,,,,,,,,
Tommy Boy,1995,https://letterboxd.com/film/tommy-boy/,,,,,,,,,,,
Three Thousand Years of Longing,2022,https://letterboxd.com/film/three-thousand-years-of-longing/,3.0,1.5,,,,3.5,,,,,
No Time to Die,2021,https://letterboxd.com/film/no-time-to-die-2021/,3.0,2.0,,,,3.0,,,,,
Brian and Charles,2022,https://letterboxd.com/film/brian-and-charles-2022/,,,,,,,,,,,
Tenet,2020,https://letterboxd.com/film/tenet/,2.5,,,,,2.5,,,3.0,,
Shang-Chi and the Legend of the Ten Rings,2021,https://letterboxd.com/film/shang-chi-and-the-legend-of-the-ten-rings/,4.0,2.5,,,3.0,3.0,,,,,
Dune,2021,https://letterboxd.com/film/dune-2021/,3.5,3.5,,,4.5,2.5,,,4.0,4.5,
Don't Look Up,2021,https://letterboxd.com/film/dont-look-up-2021/,2.0,3.5,,,,2.5,,,,,
Dinner in America,2020,https://letterboxd.com/film/dinner-in-america/,,,,,,,,,,,
Dredd,2012,https://letterboxd.com/film/dredd/,,,,,,,,,,,
The Banshees of Inisherin,2022,https://letterboxd.com/film/the-banshees-of-inisherin/,4.0,2.5,,,,4.5,,4.5,4.5,,
Sister Act,1992,https://letterboxd.com/film/sister-act/,,,,,,,,,,,
Kimi,2022,https://letterboxd.com/film/kimi/,3.0,1.5,,,,3.5,,,,,
Elf,2003,https://letterboxd.com/film/elf/,3.0,,,,,,,,,,
Thoroughbreds,2017,https://letterboxd.com/film/thoroughbreds-2017/,2.5,,,,,,,,,,
Azor,2021,https://letterboxd.com/film/azor/,,,,,,,,,,,
Short Term 12,2013,https://letterboxd.com/film/short-term-12-2013/,3.0,,,,,4.0,,,,,
Parasite,2019,https://letterboxd.com/film/parasite-2019/,4.5,5.0,,,4.5,4.5,,,4.0,,5.0
Short Circuit,1986,https://letterboxd.com/film/short-circuit/,,,,,,,,,,,
Licorice Pizza,2021,https://letterboxd.com/film/licorice-pizza/,4.0,4.0,,,,4.0,,,,,
Moonlight,2016,https://letterboxd.com/film/moonlight-2016/,4.0,,,,4.5,4.0,5.0,,5.0,,
The Lost Boys,1987,https://letterboxd.com/film/the-lost-boys/,,,,,,,,,,,
Sex Drive,2008,https://letterboxd.com/film/sex-drive/,,,,,,,,,,,
Legend,1985,https://letterboxd.com/film/legend/,,,,,,,,,,,
Demolition Man,1993,https://letterboxd.com/film/demolition-man/,,,,,,,,,,,
Pokémon: The First Movie,1998,https://letterboxd.com/film/pokemon-the-first-movie/,,,,,,,,,,,
Emily the Criminal,2022,https://letterboxd.com/film/emily-the-criminal/,,3.5,,,,3.5,,,,,
Bodies Bodies Bodies,2022,https://letterboxd.com/film/bodies-bodies-bodies/,3.5,,,,,3.0,,,,,
Black Swan,2010,https://letterboxd.com/film/black-swan/,,,5.0,,4.0,4.0,,,4.0,,
Bedazzled,2000,https://letterboxd.com/film/bedazzled-2000/,,,,,,,,,,,
Johnny Mnemonic,1995,https://letterboxd.com/film/johnny-mnemonic/,,,,,,,,,,,
Labyrinth,1986,https://letterboxd.com/film/labyrinth/,3.0,,,,,,,5.0,,,
Stardust,2007,https://letterboxd.com/film/stardust-2007/,,,,,,,,,,,
Star Trek Beyond,2016,https://letterboxd.com/film/star-trek-beyond/,2.5,,,,,3.0,,,,,
Star Trek Into Darkness,2013,https://letterboxd.com/film/star-trek-into-darkness/,3.5,,,,,3.5,,,,,
DragonHeart,1996,https://letterboxd.com/film/dragonheart/,,,,,,,,,,,
Troll 2,1990,https://letterboxd.com/film/troll-2/,,,,,,,,,,,
Star Trek,2009,https://letterboxd.com/film/star-trek/,,,,,,,,,,,
